orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2,orig_vs_same_edit,orig_vs_diff_edit,orig_vs_same_bow,orig_vs_diff_bow
0.957,0.998,0.293,0.056,74,3,0.353,0.909
0.985,0.997,0.175,0.073,255,14,0.295,0.857
0.975,0.999,0.224,0.039,174,4,0.327,0.968
0.978,0.999,0.212,0.05,190,10,0.302,0.976
0.987,1.0,0.16,0.0,315,0,0.362,1.0
0.913,0.989,0.418,0.15,71,11,0.16,0.778
0.985,0.999,0.174,0.04,496,12,0.382,0.988
0.989,0.998,0.151,0.056,247,16,0.381,0.968
0.972,1.0,0.236,0.028,238,8,0.272,0.963
0.98,1.0,0.198,0.026,228,4,0.217,0.975
0.985,0.999,0.175,0.033,330,8,0.239,0.935
0.973,0.996,0.232,0.086,146,12,0.222,0.935
0.979,0.999,0.206,0.033,336,16,0.312,0.972
0.974,0.999,0.229,0.044,207,8,0.333,0.927
0.99,0.999,0.142,0.041,156,9,0.421,0.951
0.989,0.999,0.15,0.036,252,11,0.286,0.952
0.981,0.999,0.194,0.037,241,3,0.257,0.977
0.974,0.999,0.226,0.033,284,7,0.353,0.949
0.993,0.999,0.122,0.049,264,12,0.283,0.962
0.987,0.999,0.164,0.053,183,7,0.418,0.958
