orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2,orig_vs_same_edit,orig_vs_diff_edit,orig_vs_same_bow,orig_vs_diff_bow
0.994,0.999,0.106,0.046,588,34,0.317,0.89
0.974,0.983,0.226,0.182,144,55,0.419,0.733
0.967,0.983,0.255,0.186,98,16,0.286,0.824
0.984,0.998,0.179,0.065,194,13,0.329,0.875
0.99,0.997,0.141,0.083,206,43,0.493,0.796
0.983,0.999,0.186,0.052,138,8,0.356,0.925
0.981,0.999,0.196,0.04,207,13,0.378,0.915
0.981,1.0,0.193,0.027,191,4,0.395,0.957
0.979,0.999,0.203,0.039,126,4,0.377,0.946
0.97,0.999,0.244,0.047,140,7,0.326,0.935
0.979,0.997,0.206,0.075,193,10,0.288,0.871
0.985,0.999,0.173,0.052,440,37,0.256,0.903
0.96,0.996,0.284,0.084,108,4,0.286,0.9
0.975,0.998,0.222,0.061,201,4,0.25,0.892
0.945,0.996,0.331,0.085,269,8,0.214,0.889
0.951,0.992,0.312,0.124,98,6,0.355,0.8
0.901,0.994,0.446,0.112,99,8,0.121,0.824
0.976,0.992,0.217,0.13,216,18,0.291,0.839
0.982,0.999,0.19,0.052,157,16,0.368,0.925
0.98,0.999,0.198,0.033,233,8,0.311,0.955
