orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2,orig_vs_same_edit,orig_vs_diff_edit,orig_vs_same_bow,orig_vs_diff_bow
0.989,0.998,0.152,0.069,342,12,0.303,0.944
0.985,0.999,0.175,0.049,258,4,0.33,0.931
0.988,0.997,0.156,0.073,339,7,0.369,0.891
0.97,0.995,0.247,0.104,144,4,0.417,0.833
0.972,0.997,0.237,0.078,158,4,0.302,0.886
0.946,0.999,0.327,0.054,93,4,0.293,0.923
0.985,0.999,0.175,0.052,304,16,0.307,0.837
0.971,0.998,0.242,0.069,155,11,0.296,0.8
0.989,1.0,0.147,0.029,683,30,0.307,0.918
0.981,0.999,0.197,0.053,127,7,0.283,0.933
0.977,0.998,0.216,0.065,214,8,0.37,0.865
0.983,0.992,0.182,0.129,140,30,0.511,0.703
0.966,0.994,0.26,0.113,113,13,0.27,0.792
0.98,0.998,0.198,0.059,258,23,0.324,0.756
0.956,0.997,0.298,0.072,182,9,0.231,0.923
0.987,0.999,0.16,0.046,341,43,0.301,0.853
0.991,1.0,0.133,0.03,314,11,0.368,0.893
0.986,0.999,0.165,0.038,351,12,0.353,0.895
0.975,0.996,0.224,0.088,151,23,0.375,0.789
0.983,0.999,0.183,0.039,240,14,0.227,0.88
