orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2,orig_vs_same_edit,orig_vs_diff_edit,orig_vs_same_bow,orig_vs_diff_bow
0.979,0.999,0.205,0.042,135,9,0.453,0.902
0.988,1.0,0.155,0.022,319,8,0.427,0.966
0.992,1.0,0.126,0.012,479,8,0.372,0.976
0.982,1.0,0.192,0.03,88,4,0.34,0.971
0.99,1.0,0.143,0.026,359,8,0.377,0.986
0.992,0.999,0.126,0.039,287,18,0.369,0.954
0.985,0.999,0.17,0.037,169,3,0.311,0.976
0.947,0.994,0.326,0.106,103,9,0.261,0.857
0.983,1.0,0.182,0.022,170,4,0.34,0.947
0.977,0.999,0.216,0.034,128,5,0.474,0.951
0.989,1.0,0.151,0.026,145,4,0.406,0.977
0.981,0.999,0.197,0.048,249,12,0.286,0.94
0.98,0.997,0.199,0.071,214,22,0.216,0.826
0.976,0.999,0.218,0.033,151,4,0.234,0.967
0.996,1.0,0.094,0.01,1653,48,0.398,0.969
0.976,0.999,0.217,0.042,218,6,0.362,0.973
0.97,0.998,0.244,0.068,166,11,0.196,0.875
0.983,1.0,0.184,0.032,192,8,0.333,0.929
0.987,0.999,0.16,0.039,205,6,0.389,0.938
0.981,1.0,0.194,0.031,202,5,0.303,0.936
