orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2,orig_vs_same_edit,orig_vs_diff_edit,orig_vs_same_bow,orig_vs_diff_bow
0.982,1.0,0.191,0.03,248,5,0.339,0.895
0.98,0.991,0.199,0.131,163,16,0.352,0.788
0.98,0.999,0.202,0.033,198,8,0.354,0.927
0.982,0.998,0.191,0.065,246,17,0.211,0.923
0.987,0.996,0.161,0.093,290,22,0.302,0.839
0.95,0.984,0.315,0.179,65,24,0.321,0.611
0.981,0.998,0.195,0.06,219,12,0.254,0.878
0.949,0.991,0.32,0.136,129,23,0.179,0.714
0.977,0.999,0.216,0.041,279,8,0.24,0.925
0.965,0.996,0.265,0.092,138,8,0.279,0.957
0.984,1.0,0.181,0.027,355,8,0.226,0.942
0.975,0.998,0.222,0.069,205,19,0.308,0.872
0.985,0.999,0.176,0.038,158,8,0.491,0.973
0.981,0.999,0.196,0.033,182,8,0.246,0.921
0.983,1.0,0.183,0.024,648,17,0.269,0.947
0.993,1.0,0.115,0.027,226,8,0.393,0.948
0.965,0.996,0.264,0.091,95,8,0.281,0.857
0.979,0.999,0.206,0.035,320,8,0.293,0.938
0.975,0.999,0.224,0.053,215,11,0.389,0.9
0.959,0.999,0.285,0.048,251,8,0.308,0.919
