orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2,orig_vs_same_edit,orig_vs_diff_edit,orig_vs_same_bow,orig_vs_diff_bow
0.984,0.997,0.176,0.073,83,23,0.5,0.882
0.975,0.997,0.222,0.074,171,31,0.411,0.868
0.981,0.999,0.196,0.049,366,22,0.306,0.912
0.996,1.0,0.085,0.012,758,14,0.344,0.972
0.985,1.0,0.17,0.026,199,19,0.366,0.958
0.988,0.999,0.157,0.042,233,26,0.432,0.929
0.988,0.999,0.158,0.055,342,38,0.33,0.877
0.986,0.996,0.166,0.086,171,33,0.383,0.814
0.988,1.0,0.156,0.015,256,9,0.337,0.965
0.987,0.999,0.164,0.04,192,8,0.429,1.0
0.986,1.0,0.17,0.025,342,12,0.319,0.921
0.986,1.0,0.17,0.016,604,16,0.247,0.98
0.986,0.997,0.168,0.071,268,13,0.392,0.918
0.988,1.0,0.153,0.031,303,15,0.278,0.964
0.972,0.997,0.235,0.072,199,26,0.255,0.784
0.99,0.998,0.143,0.059,250,15,0.304,0.9
0.989,1.0,0.148,0.019,224,3,0.407,0.963
0.987,0.999,0.163,0.043,187,12,0.397,0.936
0.985,0.998,0.171,0.066,191,12,0.342,0.977
0.983,0.998,0.186,0.06,278,16,0.345,0.898
