orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2,orig_vs_same_edit,orig_vs_diff_edit,orig_vs_same_bow,orig_vs_diff_bow
0.973,0.999,0.233,0.053,177,7,0.327,0.875
0.996,1.0,0.09,0.006,868,21,0.427,0.985
0.993,1.0,0.119,0.016,488,9,0.469,0.982
0.987,1.0,0.161,0.022,255,6,0.386,0.952
0.949,0.998,0.319,0.061,119,4,0.214,0.955
0.97,0.998,0.245,0.065,237,12,0.273,0.852
0.984,1.0,0.18,0.02,349,4,0.267,1.0
0.978,1.0,0.209,0.029,151,8,0.404,0.923
0.984,1.0,0.18,0.03,210,3,0.375,0.98
0.986,0.999,0.165,0.036,647,22,0.298,0.961
0.982,0.999,0.191,0.053,640,32,0.359,0.96
0.983,0.999,0.182,0.035,336,8,0.268,0.944
0.984,0.999,0.179,0.045,195,6,0.303,0.917
0.97,0.999,0.246,0.048,133,2,0.273,0.917
0.975,0.992,0.226,0.122,141,14,0.268,0.759
0.981,0.999,0.195,0.039,178,8,0.441,0.949
0.978,1.0,0.209,0.027,169,2,0.281,0.97
0.973,0.997,0.231,0.078,172,6,0.293,0.833
0.98,0.998,0.198,0.07,319,27,0.267,0.88
0.991,1.0,0.137,0.014,399,7,0.333,0.961
