orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2,orig_vs_same_edit,orig_vs_diff_edit,orig_vs_same_bow,orig_vs_diff_bow
0.974,0.997,0.226,0.079,217,14,0.333,0.837
0.983,0.999,0.184,0.042,312,16,0.291,0.979
0.978,0.997,0.209,0.079,237,27,0.356,0.878
0.947,0.997,0.326,0.074,98,4,0.281,0.952
0.975,0.999,0.222,0.043,163,1,0.377,0.943
0.96,0.996,0.284,0.086,134,10,0.136,0.913
0.961,0.993,0.279,0.116,159,20,0.314,0.935
0.969,0.999,0.248,0.036,185,10,0.353,0.976
0.943,0.996,0.338,0.088,112,3,0.361,0.944
0.979,0.999,0.204,0.045,161,3,0.314,0.938
0.957,0.998,0.292,0.058,205,8,0.303,0.977
0.983,1.0,0.185,0.03,234,4,0.36,0.978
0.956,0.999,0.296,0.053,163,4,0.235,0.967
0.955,0.997,0.299,0.072,123,10,0.224,0.931
0.921,0.994,0.397,0.11,117,9,0.297,0.909
0.992,0.999,0.126,0.033,514,12,0.454,1.0
0.974,1.0,0.227,0.021,248,4,0.294,1.0
0.923,0.987,0.394,0.161,82,13,0.25,0.789
0.969,0.999,0.251,0.047,268,10,0.29,0.943
0.972,0.998,0.237,0.065,98,4,0.324,0.947
