orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2,orig_vs_same_edit,orig_vs_diff_edit,orig_vs_same_bow,orig_vs_diff_bow
0.987,0.998,0.161,0.057,231,29,0.395,0.833
0.965,0.996,0.266,0.092,112,8,0.242,0.842
0.968,0.998,0.251,0.064,183,8,0.357,0.889
0.973,0.997,0.231,0.074,135,15,0.269,0.857
0.985,0.999,0.173,0.035,251,9,0.328,0.93
0.972,0.998,0.237,0.063,177,8,0.269,0.885
0.981,0.997,0.194,0.073,96,7,0.342,0.923
0.969,0.996,0.248,0.086,180,14,0.25,0.848
0.974,0.996,0.226,0.084,182,16,0.25,0.86
0.949,0.986,0.321,0.165,35,8,0.421,0.786
0.951,1.0,0.313,0.029,153,4,0.14,0.933
0.931,0.995,0.371,0.097,168,12,0.19,0.789
0.981,0.999,0.195,0.055,200,17,0.405,0.932
0.977,0.998,0.216,0.062,269,19,0.275,0.929
0.98,0.998,0.2,0.064,212,51,0.304,0.804
0.984,0.999,0.18,0.034,250,9,0.354,0.952
0.986,0.999,0.166,0.041,339,20,0.337,0.932
0.985,0.999,0.172,0.035,140,9,0.367,0.93
0.948,0.996,0.321,0.086,54,8,0.333,0.85
0.975,0.999,0.223,0.034,189,4,0.333,0.966
