orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2,orig_vs_same_edit,orig_vs_diff_edit,orig_vs_same_bow,orig_vs_diff_bow
0.957,0.997,0.292,0.077,74,3,0.353,0.909
0.974,0.976,0.229,0.221,255,14,0.295,0.857
0.94,0.926,0.348,0.386,174,4,0.327,0.968
0.947,0.971,0.325,0.242,190,10,0.302,0.976
0.946,1.0,0.329,0.0,315,0,0.362,1.0
0.868,0.92,0.514,0.399,71,11,0.16,0.778
0.932,0.977,0.369,0.212,496,12,0.382,0.988
0.983,0.957,0.183,0.293,247,16,0.381,0.968
0.955,0.988,0.299,0.152,238,8,0.272,0.963
0.871,0.989,0.508,0.148,228,4,0.217,0.975
0.925,0.961,0.386,0.279,330,8,0.239,0.935
0.902,0.952,0.442,0.311,146,12,0.222,0.935
0.939,0.995,0.349,0.105,336,16,0.312,0.972
0.93,0.946,0.374,0.33,207,8,0.333,0.927
0.963,0.953,0.272,0.307,156,9,0.421,0.951
0.947,0.975,0.327,0.225,252,11,0.286,0.952
0.882,0.951,0.487,0.314,241,3,0.257,0.977
0.958,0.995,0.289,0.099,284,7,0.353,0.949
0.956,0.963,0.297,0.273,264,12,0.283,0.962
0.986,0.935,0.17,0.36,183,7,0.418,0.958
