orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2,orig_vs_same_edit,orig_vs_diff_edit,orig_vs_same_bow,orig_vs_diff_bow
0.957,0.954,0.295,0.304,588,34,0.317,0.89
0.965,0.969,0.265,0.249,144,55,0.419,0.733
0.933,0.941,0.366,0.343,98,16,0.286,0.824
0.99,0.994,0.14,0.11,194,13,0.329,0.875
0.943,0.968,0.337,0.253,206,43,0.493,0.796
0.98,0.991,0.198,0.135,138,8,0.356,0.925
0.966,0.993,0.263,0.121,207,13,0.378,0.915
0.987,0.999,0.161,0.048,191,4,0.395,0.957
0.955,0.991,0.298,0.135,126,4,0.377,0.946
0.962,0.997,0.277,0.08,140,7,0.326,0.935
0.926,0.959,0.384,0.287,193,10,0.288,0.871
0.957,0.971,0.295,0.241,440,37,0.256,0.903
0.917,0.968,0.407,0.251,108,4,0.286,0.9
0.947,0.995,0.327,0.099,201,4,0.25,0.892
0.93,0.974,0.375,0.227,269,8,0.214,0.889
0.912,0.943,0.421,0.337,98,6,0.355,0.8
0.935,0.979,0.362,0.206,99,8,0.121,0.824
0.933,0.942,0.366,0.339,216,18,0.291,0.839
0.87,0.989,0.51,0.145,157,16,0.368,0.925
0.928,0.995,0.38,0.102,233,8,0.311,0.955
