orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2,orig_vs_same_edit,orig_vs_diff_edit,orig_vs_same_bow,orig_vs_diff_bow
0.975,0.994,0.221,0.114,342,12,0.303,0.944
0.969,0.998,0.248,0.066,258,4,0.33,0.931
0.981,0.994,0.193,0.108,339,7,0.369,0.891
0.973,0.996,0.233,0.086,144,4,0.417,0.833
0.957,0.996,0.292,0.091,158,4,0.302,0.886
0.973,0.996,0.231,0.095,93,4,0.293,0.923
0.951,0.976,0.313,0.218,304,16,0.307,0.837
0.932,0.991,0.37,0.135,155,11,0.296,0.8
0.983,0.998,0.182,0.07,683,30,0.307,0.918
0.94,0.977,0.346,0.216,127,7,0.283,0.933
0.968,0.996,0.253,0.087,214,8,0.37,0.865
0.985,0.936,0.175,0.357,140,30,0.511,0.703
0.95,0.987,0.316,0.159,113,13,0.27,0.792
0.93,0.973,0.375,0.233,258,23,0.324,0.756
0.958,0.985,0.291,0.171,182,9,0.231,0.923
0.981,0.994,0.196,0.108,341,43,0.301,0.853
0.954,0.995,0.302,0.101,314,11,0.368,0.893
0.972,0.999,0.236,0.051,351,12,0.353,0.895
0.971,0.988,0.241,0.157,151,23,0.375,0.789
0.949,0.998,0.32,0.056,240,14,0.227,0.88
