orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2,orig_vs_same_edit,orig_vs_diff_edit,orig_vs_same_bow,orig_vs_diff_bow
0.883,0.991,0.484,0.133,135,9,0.453,0.902
0.943,0.994,0.339,0.11,319,8,0.427,0.966
0.977,0.998,0.215,0.068,479,8,0.372,0.976
0.968,0.977,0.254,0.215,88,4,0.34,0.971
0.967,0.996,0.257,0.092,359,8,0.377,0.986
0.928,0.998,0.378,0.058,287,18,0.369,0.954
0.838,0.995,0.569,0.096,169,3,0.311,0.976
0.977,0.985,0.215,0.171,103,9,0.261,0.857
0.971,0.988,0.241,0.155,170,4,0.34,0.947
0.988,0.995,0.156,0.101,128,5,0.474,0.951
0.935,0.986,0.361,0.166,145,4,0.406,0.977
0.909,0.996,0.427,0.094,249,12,0.286,0.94
0.939,0.973,0.348,0.233,214,22,0.216,0.826
0.931,0.906,0.371,0.433,151,4,0.234,0.967
0.849,0.999,0.549,0.039,1653,48,0.398,0.969
0.954,0.995,0.304,0.105,218,6,0.362,0.973
0.951,0.995,0.312,0.103,166,11,0.196,0.875
0.973,0.985,0.232,0.173,192,8,0.333,0.929
0.96,0.985,0.282,0.175,205,6,0.389,0.938
0.93,0.899,0.375,0.45,202,5,0.303,0.936
