orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2,orig_vs_same_edit,orig_vs_diff_edit,orig_vs_same_bow,orig_vs_diff_bow
0.902,0.995,0.443,0.096,248,5,0.339,0.895
0.944,0.963,0.333,0.271,163,16,0.352,0.788
0.941,0.995,0.342,0.098,198,8,0.354,0.927
0.944,0.949,0.333,0.32,246,17,0.211,0.923
0.964,0.928,0.267,0.38,290,22,0.302,0.839
0.947,0.926,0.327,0.385,65,24,0.321,0.611
0.934,0.995,0.363,0.102,219,12,0.254,0.878
0.857,0.949,0.535,0.321,129,23,0.179,0.714
0.94,0.989,0.346,0.148,279,8,0.24,0.925
0.854,0.928,0.54,0.381,138,8,0.279,0.957
0.959,0.978,0.285,0.209,355,8,0.226,0.942
0.945,0.948,0.332,0.323,205,19,0.308,0.872
0.974,0.977,0.229,0.213,158,8,0.491,0.973
0.855,0.972,0.538,0.238,182,8,0.246,0.921
0.934,0.949,0.365,0.32,648,17,0.269,0.947
0.958,0.998,0.29,0.069,226,8,0.393,0.948
0.938,0.972,0.352,0.235,95,8,0.281,0.857
0.777,0.987,0.669,0.16,320,8,0.293,0.938
0.973,0.966,0.231,0.261,215,11,0.389,0.9
0.929,0.997,0.378,0.082,251,8,0.308,0.919
