orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2,orig_vs_same_edit,orig_vs_diff_edit,orig_vs_same_bow,orig_vs_diff_bow
0.984,0.938,0.181,0.353,83,23,0.5,0.882
0.978,0.969,0.211,0.248,171,31,0.411,0.868
0.898,0.946,0.452,0.328,366,22,0.306,0.912
0.979,0.988,0.205,0.155,758,14,0.344,0.972
0.98,0.978,0.198,0.21,199,19,0.366,0.958
0.951,0.98,0.314,0.202,233,26,0.432,0.929
0.961,0.955,0.279,0.299,342,38,0.33,0.877
0.975,0.993,0.223,0.118,171,33,0.383,0.814
0.964,0.997,0.268,0.072,256,9,0.337,0.965
0.979,0.963,0.206,0.273,192,8,0.429,1.0
0.943,0.963,0.338,0.273,342,12,0.319,0.921
0.921,0.941,0.398,0.345,604,16,0.247,0.98
0.942,0.959,0.342,0.288,268,13,0.392,0.918
0.977,0.988,0.214,0.153,303,15,0.278,0.964
0.95,0.951,0.316,0.314,199,26,0.255,0.784
0.931,0.957,0.371,0.294,250,15,0.304,0.9
0.985,0.99,0.175,0.144,224,3,0.407,0.963
0.91,0.953,0.424,0.307,187,12,0.397,0.936
0.936,0.964,0.358,0.269,191,12,0.342,0.977
0.915,0.961,0.411,0.279,278,16,0.345,0.898
