orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2,orig_vs_same_edit,orig_vs_diff_edit,orig_vs_same_bow,orig_vs_diff_bow
0.927,0.985,0.383,0.174,177,7,0.327,0.875
0.938,0.99,0.353,0.139,868,21,0.427,0.985
0.939,0.998,0.35,0.059,488,9,0.469,0.982
0.942,0.992,0.34,0.129,255,6,0.386,0.952
0.938,0.979,0.351,0.205,119,4,0.214,0.955
0.959,0.991,0.287,0.134,237,12,0.273,0.852
0.967,0.995,0.256,0.1,349,4,0.267,1.0
0.987,0.989,0.163,0.147,151,8,0.404,0.923
0.977,0.992,0.213,0.128,210,3,0.375,0.98
0.94,0.992,0.345,0.126,647,22,0.298,0.961
0.976,0.996,0.221,0.089,640,32,0.359,0.96
0.927,0.942,0.381,0.341,336,8,0.268,0.944
0.955,0.995,0.3,0.099,195,6,0.303,0.917
0.939,0.98,0.349,0.2,133,2,0.273,0.917
0.945,0.989,0.333,0.145,141,14,0.268,0.759
0.967,0.997,0.255,0.082,178,8,0.441,0.949
0.841,0.998,0.563,0.068,169,2,0.281,0.97
0.904,0.974,0.439,0.227,172,6,0.293,0.833
0.961,0.992,0.281,0.128,319,27,0.267,0.88
0.981,0.997,0.193,0.071,399,7,0.333,0.961
