orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2,orig_vs_same_edit,orig_vs_diff_edit,orig_vs_same_bow,orig_vs_diff_bow
0.961,0.986,0.279,0.165,217,14,0.333,0.837
0.951,0.998,0.313,0.059,312,16,0.291,0.979
0.901,0.979,0.445,0.205,237,27,0.356,0.878
0.969,0.978,0.25,0.211,98,4,0.281,0.952
0.953,0.998,0.306,0.069,163,1,0.377,0.943
0.887,0.974,0.475,0.226,134,10,0.136,0.913
0.936,0.973,0.358,0.231,159,20,0.314,0.935
0.966,0.995,0.262,0.097,185,10,0.353,0.976
0.955,0.966,0.301,0.262,112,3,0.361,0.944
0.956,0.99,0.296,0.138,161,3,0.314,0.938
0.947,0.997,0.327,0.076,205,8,0.303,0.977
0.967,0.996,0.258,0.089,234,4,0.36,0.978
0.863,0.995,0.523,0.098,163,4,0.235,0.967
0.913,0.997,0.417,0.078,123,10,0.224,0.931
0.869,0.992,0.511,0.124,117,9,0.297,0.909
0.959,0.986,0.286,0.165,514,12,0.454,1.0
0.96,0.997,0.284,0.076,248,4,0.294,1.0
0.925,0.957,0.388,0.292,82,13,0.25,0.789
0.923,0.984,0.391,0.179,268,10,0.29,0.943
0.971,0.972,0.243,0.237,98,4,0.324,0.947
