orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2,orig_vs_same_edit,orig_vs_diff_edit,orig_vs_same_bow,orig_vs_diff_bow
0.981,0.976,0.193,0.217,231,29,0.395,0.833
0.913,0.966,0.417,0.26,112,8,0.242,0.842
0.945,0.978,0.332,0.209,183,8,0.357,0.889
0.943,0.909,0.339,0.426,135,15,0.269,0.857
0.942,0.89,0.341,0.469,251,9,0.328,0.93
0.917,0.962,0.407,0.277,177,8,0.269,0.885
0.942,0.973,0.342,0.233,96,7,0.342,0.923
0.974,0.971,0.226,0.242,180,14,0.25,0.848
0.977,0.975,0.213,0.224,182,16,0.25,0.86
0.933,0.934,0.365,0.364,35,8,0.421,0.786
0.902,0.997,0.442,0.082,153,4,0.14,0.933
0.926,0.924,0.385,0.389,168,12,0.19,0.789
0.956,0.941,0.296,0.342,200,17,0.405,0.932
0.94,0.96,0.345,0.284,269,19,0.275,0.929
0.942,0.985,0.341,0.174,212,51,0.304,0.804
0.943,0.987,0.337,0.158,250,9,0.354,0.952
0.954,0.968,0.305,0.252,339,20,0.337,0.932
0.972,0.89,0.237,0.469,140,9,0.367,0.93
0.94,0.966,0.346,0.262,54,8,0.333,0.85
0.969,0.992,0.25,0.13,189,4,0.333,0.966
