orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2,orig_vs_same_edit,orig_vs_diff_edit,orig_vs_same_bow,orig_vs_diff_bow
0.98,0.997,0.198,0.073,225,22,0.461,0.923
0.982,0.997,0.189,0.076,283,17,0.425,0.93
0.978,0.998,0.208,0.068,206,2,0.422,0.957
0.938,0.989,0.353,0.146,64,4,0.259,0.941
0.938,0.994,0.352,0.106,591,47,0.27,0.92
0.957,0.994,0.293,0.111,157,9,0.333,0.897
0.934,0.993,0.364,0.118,220,2,0.273,0.935
0.953,0.998,0.305,0.06,618,25,0.318,0.951
0.97,0.997,0.246,0.079,254,15,0.301,0.917
0.961,0.991,0.28,0.131,167,13,0.373,0.871
0.965,0.99,0.264,0.143,282,17,0.306,0.959
0.966,0.997,0.26,0.072,405,33,0.396,0.887
0.942,0.993,0.341,0.118,84,4,0.28,0.917
0.878,0.987,0.494,0.163,124,4,0.205,0.95
0.938,0.997,0.351,0.079,187,8,0.323,1.0
0.957,0.999,0.293,0.049,495,24,0.346,1.0
0.899,0.996,0.45,0.093,164,9,0.375,0.857
0.933,0.994,0.367,0.108,176,8,0.281,1.0
0.957,0.998,0.293,0.066,355,6,0.416,0.94
0.98,0.999,0.202,0.053,238,10,0.375,0.942
