orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2,orig_vs_same_edit,orig_vs_diff_edit,orig_vs_same_bow,orig_vs_diff_bow
0.964,0.988,0.269,0.158,74,3,0.353,0.909
0.97,0.994,0.243,0.106,255,14,0.295,0.857
0.962,0.99,0.275,0.138,174,4,0.327,0.968
0.974,0.997,0.23,0.078,190,10,0.302,0.976
0.958,1.0,0.289,0.0,315,0,0.362,1.0
0.932,0.977,0.369,0.215,71,11,0.16,0.778
0.978,0.998,0.212,0.061,496,12,0.382,0.988
0.98,0.992,0.202,0.128,247,16,0.381,0.968
0.968,0.997,0.251,0.075,238,8,0.272,0.963
0.924,0.993,0.39,0.121,228,4,0.217,0.975
0.953,0.996,0.306,0.089,330,8,0.239,0.935
0.949,0.982,0.321,0.192,146,12,0.222,0.935
0.982,0.999,0.191,0.045,336,16,0.312,0.972
0.976,0.993,0.218,0.117,207,8,0.333,0.927
0.951,0.991,0.314,0.137,156,9,0.421,0.951
0.978,0.996,0.209,0.093,252,11,0.286,0.952
0.936,0.996,0.357,0.094,241,3,0.257,0.977
0.96,0.997,0.281,0.073,284,7,0.353,0.949
0.985,0.995,0.174,0.096,264,12,0.283,0.962
0.981,0.994,0.196,0.111,183,7,0.418,0.958
