orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2,orig_vs_same_edit,orig_vs_diff_edit,orig_vs_same_bow,orig_vs_diff_bow
0.983,0.997,0.183,0.078,588,34,0.317,0.89
0.964,0.98,0.267,0.202,144,55,0.419,0.733
0.963,0.986,0.272,0.165,98,16,0.286,0.824
0.987,0.998,0.159,0.067,194,13,0.329,0.875
0.974,0.994,0.228,0.111,206,43,0.493,0.796
0.959,0.996,0.287,0.091,138,8,0.356,0.925
0.985,0.994,0.175,0.106,207,13,0.378,0.915
0.984,0.999,0.182,0.037,191,4,0.395,0.957
0.977,0.999,0.215,0.041,126,4,0.377,0.946
0.985,1.0,0.173,0.031,140,7,0.326,0.935
0.953,0.995,0.307,0.096,193,10,0.288,0.871
0.98,0.997,0.198,0.076,440,37,0.256,0.903
0.954,0.996,0.303,0.085,108,4,0.286,0.9
0.943,0.999,0.336,0.04,201,4,0.25,0.892
0.978,0.998,0.211,0.062,269,8,0.214,0.889
0.961,0.99,0.281,0.141,98,6,0.355,0.8
0.957,0.986,0.293,0.167,99,8,0.121,0.824
0.976,0.995,0.219,0.102,216,18,0.291,0.839
0.966,0.993,0.261,0.12,157,16,0.368,0.925
0.982,0.996,0.19,0.094,233,8,0.311,0.955
