orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2,orig_vs_same_edit,orig_vs_diff_edit,orig_vs_same_bow,orig_vs_diff_bow
0.983,0.998,0.187,0.059,342,12,0.303,0.944
0.987,0.999,0.163,0.034,258,4,0.33,0.931
0.981,0.999,0.195,0.041,339,7,0.369,0.891
0.964,0.992,0.267,0.124,144,4,0.417,0.833
0.95,0.998,0.317,0.065,158,4,0.302,0.886
0.966,0.995,0.26,0.096,93,4,0.293,0.923
0.964,0.998,0.267,0.067,304,16,0.307,0.837
0.963,0.997,0.272,0.075,155,11,0.296,0.8
0.977,0.999,0.216,0.046,683,30,0.307,0.918
0.976,0.996,0.219,0.087,127,7,0.283,0.933
0.979,0.996,0.204,0.091,214,8,0.37,0.865
0.966,0.988,0.263,0.152,140,30,0.511,0.703
0.974,0.994,0.229,0.114,113,13,0.27,0.792
0.965,0.989,0.266,0.147,258,23,0.324,0.756
0.965,0.997,0.263,0.079,182,9,0.231,0.923
0.984,0.998,0.178,0.059,341,43,0.301,0.853
0.986,0.998,0.166,0.055,314,11,0.368,0.893
0.982,0.999,0.189,0.036,351,12,0.353,0.895
0.978,0.995,0.212,0.098,151,23,0.375,0.789
0.976,0.999,0.219,0.036,240,14,0.227,0.88
