orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2,orig_vs_same_edit,orig_vs_diff_edit,orig_vs_same_bow,orig_vs_diff_bow
0.981,0.998,0.193,0.065,135,9,0.453,0.902
0.981,1.0,0.194,0.028,319,8,0.427,0.966
0.985,1.0,0.174,0.016,479,8,0.372,0.976
0.98,0.994,0.201,0.11,88,4,0.34,0.971
0.986,0.998,0.168,0.067,359,8,0.377,0.986
0.984,0.999,0.178,0.048,287,18,0.369,0.954
0.979,0.999,0.206,0.053,169,3,0.311,0.976
0.961,0.993,0.278,0.121,103,9,0.261,0.857
0.972,1.0,0.236,0.027,170,4,0.34,0.947
0.98,0.999,0.201,0.048,128,5,0.474,0.951
0.979,0.996,0.205,0.084,145,4,0.406,0.977
0.972,0.998,0.236,0.068,249,12,0.286,0.94
0.968,0.993,0.252,0.117,214,22,0.216,0.826
0.959,0.994,0.287,0.107,151,4,0.234,0.967
0.969,0.999,0.247,0.047,218,6,0.362,0.973
0.949,0.998,0.321,0.061,166,11,0.196,0.875
0.964,0.996,0.268,0.092,192,8,0.333,0.929
0.975,0.998,0.224,0.069,205,6,0.389,0.938
0.969,0.995,0.25,0.095,202,5,0.303,0.936
