orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2,orig_vs_same_edit,orig_vs_diff_edit,orig_vs_same_bow,orig_vs_diff_bow
0.976,0.995,0.22,0.104,248,5,0.339,0.895
0.979,0.982,0.205,0.187,163,16,0.352,0.788
0.982,0.996,0.189,0.094,198,8,0.354,0.927
0.974,0.996,0.226,0.091,246,17,0.211,0.923
0.954,0.987,0.302,0.161,290,22,0.302,0.839
0.971,0.983,0.239,0.185,65,24,0.321,0.611
0.974,0.997,0.23,0.078,219,12,0.254,0.878
0.95,0.982,0.316,0.188,129,23,0.179,0.714
0.959,0.989,0.287,0.15,279,8,0.24,0.925
0.967,0.99,0.256,0.139,138,8,0.279,0.957
0.975,0.997,0.223,0.076,355,8,0.226,0.942
0.928,0.986,0.381,0.166,205,19,0.308,0.872
0.983,0.996,0.184,0.087,158,8,0.491,0.973
0.957,0.992,0.295,0.124,182,8,0.246,0.921
0.969,0.998,0.251,0.067,648,17,0.269,0.947
0.988,0.998,0.154,0.069,226,8,0.393,0.948
0.943,0.993,0.336,0.122,95,8,0.281,0.857
0.966,0.997,0.261,0.079,320,8,0.293,0.938
0.979,0.992,0.205,0.126,215,11,0.389,0.9
0.97,0.996,0.245,0.085,251,8,0.308,0.919
