orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2,orig_vs_same_edit,orig_vs_diff_edit,orig_vs_same_bow,orig_vs_diff_bow
0.984,0.985,0.18,0.173,83,23,0.5,0.882
0.982,0.994,0.188,0.114,171,31,0.411,0.868
0.959,0.992,0.286,0.124,366,22,0.306,0.912
0.982,0.999,0.19,0.042,758,14,0.344,0.972
0.975,0.996,0.222,0.084,199,19,0.366,0.958
0.983,0.998,0.187,0.063,233,26,0.432,0.929
0.957,0.995,0.294,0.095,342,38,0.33,0.877
0.962,0.994,0.276,0.108,171,33,0.383,0.814
0.982,0.999,0.188,0.046,256,9,0.337,0.965
0.991,0.998,0.131,0.067,192,8,0.429,1.0
0.968,0.999,0.253,0.052,342,12,0.319,0.921
0.986,0.999,0.165,0.034,604,16,0.247,0.98
0.974,0.997,0.229,0.081,268,13,0.392,0.918
0.968,0.997,0.254,0.071,303,15,0.278,0.964
0.973,0.993,0.233,0.115,199,26,0.255,0.784
0.971,0.995,0.24,0.103,250,15,0.304,0.9
0.973,0.998,0.23,0.063,224,3,0.407,0.963
0.98,0.995,0.199,0.102,187,12,0.397,0.936
0.978,0.995,0.208,0.096,191,12,0.342,0.977
0.977,0.993,0.214,0.116,278,16,0.345,0.898
