orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2,orig_vs_same_edit,orig_vs_diff_edit,orig_vs_same_bow,orig_vs_diff_bow
0.976,0.996,0.221,0.086,177,7,0.327,0.875
0.99,0.999,0.14,0.033,868,21,0.427,0.985
0.988,0.999,0.153,0.041,488,9,0.469,0.982
0.973,0.998,0.231,0.058,255,6,0.386,0.952
0.957,0.991,0.293,0.136,119,4,0.214,0.955
0.903,0.993,0.441,0.114,237,12,0.273,0.852
0.978,0.999,0.209,0.047,349,4,0.267,1.0
0.958,0.998,0.291,0.068,151,8,0.404,0.923
0.987,0.998,0.161,0.057,210,3,0.375,0.98
0.966,0.998,0.262,0.06,647,22,0.298,0.961
0.94,0.997,0.346,0.074,640,32,0.359,0.96
0.93,0.999,0.375,0.054,336,8,0.268,0.944
0.977,0.996,0.214,0.086,195,6,0.303,0.917
0.951,0.997,0.314,0.078,133,2,0.273,0.917
0.944,0.983,0.336,0.182,141,14,0.268,0.759
0.98,0.998,0.201,0.07,178,8,0.441,0.949
0.96,0.998,0.284,0.07,169,2,0.281,0.97
0.965,0.994,0.266,0.112,172,6,0.293,0.833
0.977,0.995,0.216,0.101,319,27,0.267,0.88
0.97,0.999,0.246,0.05,399,7,0.333,0.961
