orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2,orig_vs_same_edit,orig_vs_diff_edit,orig_vs_same_bow,orig_vs_diff_bow
0.96,0.994,0.282,0.11,217,14,0.333,0.837
0.978,0.999,0.211,0.04,312,16,0.291,0.979
0.965,0.997,0.266,0.076,237,27,0.356,0.878
0.958,0.993,0.29,0.118,98,4,0.281,0.952
0.965,0.998,0.263,0.065,163,1,0.377,0.943
0.885,0.995,0.48,0.103,134,10,0.136,0.913
0.955,0.992,0.3,0.127,159,20,0.314,0.935
0.968,0.999,0.251,0.048,185,10,0.353,0.976
0.957,0.998,0.293,0.064,112,3,0.361,0.944
0.952,0.999,0.309,0.054,161,3,0.314,0.938
0.975,0.997,0.225,0.075,205,8,0.303,0.977
0.96,0.998,0.284,0.059,234,4,0.36,0.978
0.938,0.995,0.353,0.102,163,4,0.235,0.967
0.953,0.998,0.308,0.07,123,10,0.224,0.931
0.929,0.996,0.377,0.089,117,9,0.297,0.909
0.978,0.999,0.209,0.043,514,12,0.454,1.0
0.961,0.999,0.279,0.053,248,4,0.294,1.0
0.97,0.995,0.245,0.098,82,13,0.25,0.789
0.954,0.997,0.304,0.08,268,10,0.29,0.943
0.953,0.992,0.308,0.129,98,4,0.324,0.947
