orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2,orig_vs_same_edit,orig_vs_diff_edit,orig_vs_same_bow,orig_vs_diff_bow
0.969,0.994,0.249,0.107,231,29,0.395,0.833
0.948,0.992,0.324,0.128,112,8,0.242,0.842
0.964,0.992,0.267,0.125,183,8,0.357,0.889
0.961,0.987,0.278,0.161,135,15,0.269,0.857
0.95,0.995,0.316,0.095,251,9,0.328,0.93
0.948,0.993,0.321,0.116,177,8,0.269,0.885
0.96,0.988,0.282,0.153,96,7,0.342,0.923
0.949,0.991,0.319,0.136,180,14,0.25,0.848
0.961,0.997,0.278,0.084,182,16,0.25,0.86
0.97,0.97,0.243,0.243,35,8,0.421,0.786
0.959,0.998,0.287,0.068,153,4,0.14,0.933
0.942,0.975,0.34,0.224,168,12,0.19,0.789
0.989,0.999,0.151,0.054,200,17,0.405,0.932
0.979,0.998,0.203,0.064,269,19,0.275,0.929
0.97,0.993,0.244,0.119,212,51,0.304,0.804
0.966,0.996,0.259,0.09,250,9,0.354,0.952
0.971,0.997,0.24,0.081,339,20,0.337,0.932
0.964,0.995,0.267,0.095,140,9,0.367,0.93
0.968,0.994,0.253,0.109,54,8,0.333,0.85
0.972,0.998,0.236,0.069,189,4,0.333,0.966
