orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2,orig_vs_same_edit,orig_vs_diff_edit,orig_vs_same_bow,orig_vs_diff_bow
0.924,0.988,0.389,0.158,225,22,0.461,0.923
0.898,0.98,0.451,0.2,283,17,0.425,0.93
0.905,0.982,0.436,0.188,206,2,0.422,0.957
0.744,0.861,0.716,0.528,64,4,0.259,0.941
0.804,0.978,0.626,0.209,591,47,0.27,0.92
0.889,0.964,0.471,0.269,157,9,0.333,0.897
0.855,0.948,0.539,0.324,220,2,0.273,0.935
0.897,0.992,0.454,0.128,618,25,0.318,0.951
0.878,0.975,0.494,0.222,254,15,0.301,0.917
0.815,0.957,0.608,0.292,167,13,0.373,0.871
0.933,0.986,0.367,0.165,282,17,0.306,0.959
0.84,0.977,0.566,0.216,405,33,0.396,0.887
0.782,0.924,0.661,0.39,84,4,0.28,0.917
0.607,0.957,0.887,0.292,124,4,0.205,0.95
0.744,0.994,0.716,0.107,187,8,0.323,1.0
0.897,0.992,0.455,0.126,495,24,0.346,1.0
0.794,0.976,0.642,0.22,164,9,0.375,0.857
0.809,0.989,0.619,0.146,176,8,0.281,1.0
0.868,0.981,0.513,0.193,355,6,0.416,0.94
0.865,0.986,0.52,0.168,238,10,0.375,0.942
