orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2,orig_vs_same_edit,orig_vs_diff_edit,orig_vs_same_bow,orig_vs_diff_bow
0.812,0.988,0.614,0.152,74,3,0.353,0.909
0.848,0.989,0.552,0.146,255,14,0.295,0.857
0.871,0.98,0.509,0.2,174,4,0.327,0.968
0.881,0.991,0.488,0.137,190,10,0.302,0.976
0.873,1.0,0.504,0.0,315,0,0.362,1.0
0.639,0.866,0.849,0.518,71,11,0.16,0.778
0.875,0.994,0.499,0.114,496,12,0.382,0.988
0.915,0.973,0.413,0.233,247,16,0.381,0.968
0.858,0.993,0.533,0.117,238,8,0.272,0.963
0.712,0.975,0.759,0.224,228,4,0.217,0.975
0.846,0.99,0.556,0.143,330,8,0.239,0.935
0.772,0.944,0.675,0.335,146,12,0.222,0.935
0.856,0.995,0.537,0.098,336,16,0.312,0.972
0.899,0.977,0.45,0.214,207,8,0.333,0.927
0.898,0.963,0.453,0.271,156,9,0.421,0.951
0.872,0.971,0.506,0.241,252,11,0.286,0.952
0.833,0.987,0.579,0.161,241,3,0.257,0.977
0.905,0.996,0.436,0.093,284,7,0.353,0.949
0.864,0.982,0.521,0.191,264,12,0.283,0.962
0.961,0.989,0.278,0.149,183,7,0.418,0.958
