orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2,orig_vs_same_edit,orig_vs_diff_edit,orig_vs_same_bow,orig_vs_diff_bow
0.885,0.947,0.479,0.325,588,34,0.317,0.89
0.913,0.934,0.417,0.363,144,55,0.419,0.733
0.89,0.869,0.468,0.512,98,16,0.286,0.824
0.953,0.984,0.306,0.177,194,13,0.329,0.875
0.879,0.983,0.491,0.185,206,43,0.493,0.796
0.892,0.984,0.465,0.179,138,8,0.356,0.925
0.891,0.985,0.468,0.176,207,13,0.378,0.915
0.959,0.995,0.287,0.103,191,4,0.395,0.957
0.825,0.977,0.592,0.215,126,4,0.377,0.946
0.891,0.998,0.466,0.061,140,7,0.326,0.935
0.81,0.944,0.616,0.336,193,10,0.288,0.871
0.872,0.972,0.505,0.236,440,37,0.256,0.903
0.751,0.954,0.706,0.305,108,4,0.286,0.9
0.85,0.991,0.548,0.131,201,4,0.25,0.892
0.905,0.972,0.437,0.239,269,8,0.214,0.889
0.824,0.92,0.594,0.4,98,6,0.355,0.8
0.829,0.892,0.585,0.465,99,8,0.121,0.824
0.91,0.943,0.425,0.339,216,18,0.291,0.839
0.74,0.968,0.721,0.254,157,16,0.368,0.925
0.763,0.988,0.689,0.158,233,8,0.311,0.955
