orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2,orig_vs_same_edit,orig_vs_diff_edit,orig_vs_same_bow,orig_vs_diff_bow
0.883,0.992,0.483,0.126,342,12,0.303,0.944
0.937,0.983,0.354,0.185,258,4,0.33,0.931
0.916,0.986,0.411,0.168,339,7,0.369,0.891
0.889,0.992,0.472,0.127,144,4,0.417,0.833
0.875,0.993,0.499,0.116,158,4,0.302,0.886
0.912,0.979,0.419,0.203,93,4,0.293,0.923
0.905,0.971,0.435,0.24,304,16,0.307,0.837
0.865,0.972,0.52,0.235,155,11,0.296,0.8
0.908,0.988,0.429,0.156,683,30,0.307,0.918
0.871,0.965,0.509,0.263,127,7,0.283,0.933
0.911,0.984,0.421,0.178,214,8,0.37,0.865
0.939,0.903,0.35,0.441,140,30,0.511,0.703
0.808,0.924,0.62,0.39,113,13,0.27,0.792
0.921,0.925,0.399,0.387,258,23,0.324,0.756
0.882,0.955,0.486,0.3,182,9,0.231,0.923
0.95,0.994,0.317,0.112,341,43,0.301,0.853
0.937,0.988,0.356,0.158,314,11,0.368,0.893
0.958,0.99,0.291,0.138,351,12,0.353,0.895
0.908,0.948,0.429,0.322,151,23,0.375,0.789
0.856,0.994,0.536,0.107,240,14,0.227,0.88
