orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2,orig_vs_same_edit,orig_vs_diff_edit,orig_vs_same_bow,orig_vs_diff_bow
0.842,0.986,0.562,0.17,135,9,0.453,0.902
0.896,0.989,0.457,0.149,319,8,0.427,0.966
0.918,0.99,0.405,0.142,479,8,0.372,0.976
0.827,0.982,0.588,0.189,88,4,0.34,0.971
0.899,0.997,0.45,0.079,359,8,0.377,0.986
0.912,0.992,0.419,0.126,287,18,0.369,0.954
0.747,0.995,0.711,0.101,169,3,0.311,0.976
0.871,0.975,0.509,0.226,103,9,0.261,0.857
0.796,0.988,0.638,0.155,170,4,0.34,0.947
0.942,0.994,0.341,0.113,128,5,0.474,0.951
0.788,0.984,0.652,0.179,145,4,0.406,0.977
0.773,0.985,0.674,0.173,249,12,0.286,0.94
0.82,0.938,0.6,0.353,214,22,0.216,0.826
0.808,0.933,0.62,0.367,151,4,0.234,0.967
0.691,0.997,0.786,0.077,1653,48,0.398,0.969
0.912,0.988,0.419,0.154,218,6,0.362,0.973
0.802,0.971,0.629,0.242,166,11,0.196,0.875
0.882,0.985,0.486,0.174,192,8,0.333,0.929
0.876,0.982,0.497,0.187,205,6,0.389,0.938
0.822,0.879,0.597,0.492,202,5,0.303,0.936
