orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2,orig_vs_same_edit,orig_vs_diff_edit,orig_vs_same_bow,orig_vs_diff_bow
0.859,0.987,0.531,0.163,248,5,0.339,0.895
0.872,0.916,0.506,0.41,163,16,0.352,0.788
0.88,0.99,0.49,0.142,198,8,0.354,0.927
0.858,0.977,0.533,0.217,246,17,0.211,0.923
0.915,0.947,0.412,0.327,290,22,0.302,0.839
0.829,0.9,0.584,0.447,65,24,0.321,0.611
0.833,0.975,0.579,0.222,219,12,0.254,0.878
0.602,0.853,0.892,0.542,129,23,0.179,0.714
0.88,0.996,0.489,0.093,279,8,0.24,0.925
0.808,0.912,0.619,0.419,138,8,0.279,0.957
0.861,0.97,0.527,0.244,355,8,0.226,0.942
0.928,0.963,0.381,0.273,205,19,0.308,0.872
0.944,0.995,0.334,0.1,158,8,0.491,0.973
0.763,0.979,0.688,0.204,182,8,0.246,0.921
0.888,0.974,0.472,0.229,648,17,0.269,0.947
0.931,0.996,0.372,0.094,226,8,0.393,0.948
0.765,0.921,0.685,0.398,95,8,0.281,0.857
0.747,0.99,0.711,0.14,320,8,0.293,0.938
0.908,0.965,0.428,0.265,215,11,0.389,0.9
0.853,0.991,0.543,0.136,251,8,0.308,0.919
