orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2,orig_vs_same_edit,orig_vs_diff_edit,orig_vs_same_bow,orig_vs_diff_bow
0.955,0.948,0.3,0.321,83,23,0.5,0.882
0.954,0.969,0.305,0.25,171,31,0.411,0.868
0.864,0.924,0.521,0.39,366,22,0.306,0.912
0.943,0.988,0.337,0.157,758,14,0.344,0.972
0.928,0.983,0.38,0.183,199,19,0.366,0.958
0.924,0.983,0.389,0.186,233,26,0.432,0.929
0.896,0.961,0.457,0.281,342,38,0.33,0.877
0.941,0.985,0.345,0.174,171,33,0.383,0.814
0.937,0.994,0.355,0.108,256,9,0.337,0.965
0.948,0.989,0.322,0.147,192,8,0.429,1.0
0.884,0.994,0.481,0.112,342,12,0.319,0.921
0.884,0.946,0.482,0.327,604,16,0.247,0.98
0.912,0.971,0.419,0.242,268,13,0.392,0.918
0.895,0.981,0.458,0.196,303,15,0.278,0.964
0.873,0.959,0.505,0.287,199,26,0.255,0.784
0.818,0.969,0.603,0.251,250,15,0.304,0.9
0.945,0.983,0.332,0.183,224,3,0.407,0.963
0.846,0.953,0.556,0.306,187,12,0.397,0.936
0.814,0.98,0.609,0.201,191,12,0.342,0.977
0.893,0.975,0.463,0.224,278,16,0.345,0.898
