orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2,orig_vs_same_edit,orig_vs_diff_edit,orig_vs_same_bow,orig_vs_diff_bow
0.848,0.964,0.552,0.269,177,7,0.327,0.875
0.885,0.994,0.479,0.107,868,21,0.427,0.985
0.949,0.995,0.32,0.1,488,9,0.469,0.982
0.853,0.991,0.543,0.136,255,6,0.386,0.952
0.843,0.953,0.56,0.307,119,4,0.214,0.955
0.784,0.966,0.657,0.262,237,12,0.273,0.852
0.901,0.997,0.445,0.074,349,4,0.267,1.0
0.928,0.979,0.379,0.206,151,8,0.404,0.923
0.892,0.995,0.464,0.097,210,3,0.375,0.98
0.914,0.991,0.414,0.134,647,22,0.298,0.961
0.939,0.995,0.35,0.104,640,32,0.359,0.96
0.858,0.969,0.533,0.248,336,8,0.268,0.944
0.886,0.971,0.478,0.243,195,6,0.303,0.917
0.856,0.955,0.537,0.302,133,2,0.273,0.917
0.818,0.957,0.603,0.294,141,14,0.268,0.759
0.906,0.996,0.434,0.089,178,8,0.441,0.949
0.799,0.965,0.635,0.265,169,2,0.281,0.97
0.797,0.902,0.638,0.442,172,6,0.293,0.833
0.887,0.975,0.475,0.222,319,27,0.267,0.88
0.921,0.995,0.398,0.103,399,7,0.333,0.961
