orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2,orig_vs_same_edit,orig_vs_diff_edit,orig_vs_same_bow,orig_vs_diff_bow
0.936,0.985,0.357,0.174,217,14,0.333,0.837
0.896,0.993,0.456,0.121,312,16,0.291,0.979
0.848,0.947,0.551,0.327,237,27,0.356,0.878
0.875,0.975,0.501,0.223,98,4,0.281,0.952
0.862,0.992,0.525,0.128,163,1,0.377,0.943
0.738,0.955,0.724,0.299,134,10,0.136,0.913
0.838,0.941,0.569,0.343,159,20,0.314,0.935
0.91,0.988,0.425,0.155,185,10,0.353,0.976
0.924,0.959,0.389,0.287,112,3,0.361,0.944
0.93,0.991,0.374,0.136,161,3,0.314,0.938
0.897,0.995,0.453,0.1,205,8,0.303,0.977
0.865,0.996,0.52,0.092,234,4,0.36,0.978
0.812,0.99,0.613,0.144,163,4,0.235,0.967
0.817,0.969,0.606,0.25,123,10,0.224,0.931
0.829,0.971,0.584,0.239,117,9,0.297,0.909
0.834,0.994,0.575,0.113,514,12,0.454,1.0
0.877,0.999,0.496,0.048,248,4,0.294,1.0
0.825,0.937,0.592,0.356,82,13,0.25,0.789
0.818,0.961,0.603,0.279,268,10,0.29,0.943
0.902,0.96,0.443,0.284,98,4,0.324,0.947
