orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2,orig_vs_same_edit,orig_vs_diff_edit,orig_vs_same_bow,orig_vs_diff_bow
0.956,0.965,0.298,0.265,231,29,0.395,0.833
0.817,0.932,0.605,0.368,112,8,0.242,0.842
0.854,0.961,0.54,0.278,183,8,0.357,0.889
0.837,0.915,0.571,0.413,135,15,0.269,0.857
0.873,0.985,0.503,0.175,251,9,0.328,0.93
0.855,0.962,0.539,0.277,177,8,0.269,0.885
0.843,0.971,0.561,0.241,96,7,0.342,0.923
0.935,0.961,0.361,0.278,180,14,0.25,0.848
0.917,0.983,0.408,0.185,182,16,0.25,0.86
0.804,0.899,0.627,0.45,35,8,0.421,0.786
0.702,0.978,0.772,0.211,153,4,0.14,0.933
0.821,0.86,0.598,0.529,168,12,0.19,0.789
0.848,0.96,0.551,0.281,200,17,0.405,0.932
0.91,0.964,0.424,0.267,269,19,0.275,0.929
0.879,0.986,0.492,0.17,212,51,0.304,0.804
0.872,0.987,0.506,0.16,250,9,0.354,0.952
0.891,0.957,0.467,0.295,339,20,0.337,0.932
0.904,0.985,0.437,0.175,140,9,0.367,0.93
0.814,0.922,0.609,0.394,54,8,0.333,0.85
0.904,0.979,0.438,0.207,189,4,0.333,0.966
