orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2,orig_vs_same_edit,orig_vs_diff_edit,orig_vs_same_bow,orig_vs_diff_bow
0.889,0.972,0.471,0.237,225,22,0.461,0.923
0.892,0.988,0.465,0.154,283,17,0.425,0.93
0.914,0.969,0.414,0.249,206,2,0.422,0.957
0.792,0.862,0.645,0.526,64,4,0.259,0.941
0.776,0.973,0.669,0.232,591,47,0.27,0.92
0.905,0.959,0.436,0.287,157,9,0.333,0.897
0.845,0.942,0.556,0.339,220,2,0.273,0.935
0.909,0.99,0.427,0.138,618,25,0.318,0.951
0.852,0.962,0.544,0.276,254,15,0.301,0.917
0.831,0.941,0.581,0.342,167,13,0.373,0.871
0.921,0.991,0.398,0.137,282,17,0.306,0.959
0.862,0.963,0.526,0.273,405,33,0.396,0.887
0.855,0.95,0.538,0.317,84,4,0.28,0.917
0.707,0.951,0.766,0.314,124,4,0.205,0.95
0.816,0.989,0.607,0.151,187,8,0.323,1.0
0.937,0.987,0.356,0.159,495,24,0.346,1.0
0.836,0.978,0.572,0.211,164,9,0.375,0.857
0.886,0.977,0.478,0.217,176,8,0.281,1.0
0.923,0.948,0.392,0.322,355,6,0.416,0.94
0.902,0.979,0.442,0.204,238,10,0.375,0.942
