orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2,orig_vs_same_edit,orig_vs_diff_edit,orig_vs_same_bow,orig_vs_diff_bow
0.905,0.989,0.435,0.148,74,3,0.353,0.909
0.932,0.966,0.369,0.259,255,14,0.295,0.857
0.894,0.88,0.46,0.489,174,4,0.327,0.968
0.874,0.976,0.502,0.217,190,10,0.302,0.976
0.895,1.0,0.458,0.023,315,0,0.362,1.0
0.795,0.824,0.64,0.594,71,11,0.16,0.778
0.853,0.982,0.543,0.189,496,12,0.382,0.988
0.944,0.943,0.336,0.339,247,16,0.381,0.968
0.902,0.993,0.442,0.12,238,8,0.272,0.963
0.808,0.958,0.619,0.288,228,4,0.217,0.975
0.876,0.981,0.499,0.193,330,8,0.239,0.935
0.784,0.875,0.658,0.501,146,12,0.222,0.935
0.911,0.998,0.422,0.069,336,16,0.312,0.972
0.906,0.929,0.434,0.376,207,8,0.333,0.927
0.929,0.863,0.378,0.523,156,9,0.421,0.951
0.919,0.938,0.403,0.352,252,11,0.286,0.952
0.806,0.983,0.623,0.186,241,3,0.257,0.977
0.939,0.994,0.349,0.109,284,7,0.353,0.949
0.913,0.936,0.418,0.358,264,12,0.283,0.962
0.937,0.905,0.356,0.436,183,7,0.418,0.958
