orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2,orig_vs_same_edit,orig_vs_diff_edit,orig_vs_same_bow,orig_vs_diff_bow
0.919,0.968,0.401,0.255,588,34,0.317,0.89
0.873,0.915,0.504,0.412,144,55,0.419,0.733
0.875,0.906,0.499,0.433,98,16,0.286,0.824
0.97,0.988,0.245,0.153,194,13,0.329,0.875
0.931,0.956,0.371,0.297,206,43,0.493,0.796
0.908,0.968,0.43,0.253,138,8,0.356,0.925
0.86,0.993,0.528,0.114,207,13,0.378,0.915
0.945,0.995,0.33,0.097,191,4,0.395,0.957
0.907,0.986,0.432,0.169,126,4,0.377,0.946
0.955,0.998,0.3,0.069,140,7,0.326,0.935
0.857,0.957,0.534,0.293,193,10,0.288,0.871
0.855,0.964,0.538,0.268,440,37,0.256,0.903
0.844,0.977,0.559,0.216,108,4,0.286,0.9
0.923,0.995,0.391,0.103,201,4,0.25,0.892
0.902,0.983,0.443,0.184,269,8,0.214,0.889
0.809,0.95,0.618,0.317,98,6,0.355,0.8
0.874,0.945,0.502,0.331,99,8,0.121,0.824
0.913,0.96,0.418,0.285,216,18,0.291,0.839
0.774,0.975,0.672,0.224,157,16,0.368,0.925
0.888,0.991,0.474,0.136,233,8,0.311,0.955
