orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2,orig_vs_same_edit,orig_vs_diff_edit,orig_vs_same_bow,orig_vs_diff_bow
0.888,0.991,0.473,0.132,342,12,0.303,0.944
0.886,0.993,0.477,0.122,258,4,0.33,0.931
0.937,0.983,0.355,0.183,339,7,0.369,0.891
0.868,0.994,0.514,0.111,144,4,0.417,0.833
0.88,0.983,0.49,0.184,158,4,0.302,0.886
0.947,0.993,0.327,0.117,93,4,0.293,0.923
0.92,0.969,0.4,0.247,304,16,0.307,0.837
0.918,0.977,0.404,0.212,155,11,0.296,0.8
0.912,0.995,0.419,0.099,683,30,0.307,0.918
0.864,0.982,0.522,0.19,127,7,0.283,0.933
0.949,0.992,0.319,0.125,214,8,0.37,0.865
0.955,0.966,0.3,0.262,140,30,0.511,0.703
0.902,0.972,0.442,0.236,113,13,0.27,0.792
0.866,0.945,0.518,0.331,258,23,0.324,0.756
0.871,0.972,0.507,0.236,182,9,0.231,0.923
0.954,0.994,0.302,0.109,341,43,0.301,0.853
0.906,0.988,0.434,0.153,314,11,0.368,0.893
0.949,0.996,0.318,0.087,351,12,0.353,0.895
0.939,0.976,0.35,0.22,151,23,0.375,0.789
0.836,0.997,0.573,0.072,240,14,0.227,0.88
