orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2,orig_vs_same_edit,orig_vs_diff_edit,orig_vs_same_bow,orig_vs_diff_bow
0.888,0.988,0.474,0.155,135,9,0.453,0.902
0.917,0.991,0.408,0.135,319,8,0.427,0.966
0.948,0.991,0.323,0.132,479,8,0.372,0.976
0.905,0.955,0.436,0.299,88,4,0.34,0.971
0.944,0.991,0.334,0.136,359,8,0.377,0.986
0.892,0.993,0.465,0.115,287,18,0.369,0.954
0.709,0.994,0.763,0.111,169,3,0.311,0.976
0.906,0.979,0.434,0.203,103,9,0.261,0.857
0.885,0.988,0.48,0.154,170,4,0.34,0.947
0.961,0.992,0.28,0.129,128,5,0.474,0.951
0.823,0.977,0.595,0.215,145,4,0.406,0.977
0.84,0.985,0.566,0.17,249,12,0.286,0.94
0.904,0.947,0.437,0.326,214,22,0.216,0.826
0.814,0.907,0.61,0.432,151,4,0.234,0.967
0.785,0.995,0.656,0.102,1653,48,0.398,0.969
0.916,0.985,0.409,0.171,218,6,0.362,0.973
0.857,0.988,0.535,0.154,166,11,0.196,0.875
0.934,0.978,0.364,0.212,192,8,0.333,0.929
0.933,0.966,0.365,0.26,205,6,0.389,0.938
0.862,0.913,0.525,0.417,202,5,0.303,0.936
