orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2,orig_vs_same_edit,orig_vs_diff_edit,orig_vs_same_bow,orig_vs_diff_bow
0.852,0.993,0.544,0.122,248,5,0.339,0.895
0.867,0.881,0.515,0.488,163,16,0.352,0.788
0.894,0.991,0.461,0.136,198,8,0.354,0.927
0.903,0.97,0.44,0.245,246,17,0.211,0.923
0.933,0.92,0.366,0.399,290,22,0.302,0.839
0.886,0.845,0.477,0.557,65,24,0.321,0.611
0.89,0.969,0.469,0.249,219,12,0.254,0.878
0.779,0.854,0.664,0.541,129,23,0.179,0.714
0.905,0.997,0.436,0.083,279,8,0.24,0.925
0.865,0.9,0.52,0.447,138,8,0.279,0.957
0.921,0.988,0.398,0.158,355,8,0.226,0.942
0.924,0.949,0.389,0.321,205,19,0.308,0.872
0.967,0.989,0.259,0.147,158,8,0.491,0.973
0.826,0.984,0.59,0.181,182,8,0.246,0.921
0.923,0.972,0.392,0.236,648,17,0.269,0.947
0.954,0.997,0.304,0.073,226,8,0.393,0.948
0.896,0.928,0.456,0.379,95,8,0.281,0.857
0.834,0.992,0.576,0.126,320,8,0.293,0.938
0.944,0.952,0.334,0.309,215,11,0.389,0.9
0.889,0.995,0.471,0.1,251,8,0.308,0.919
