orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2,orig_vs_same_edit,orig_vs_diff_edit,orig_vs_same_bow,orig_vs_diff_bow
0.921,0.901,0.398,0.446,83,23,0.5,0.882
0.942,0.95,0.34,0.316,171,31,0.411,0.868
0.852,0.875,0.545,0.5,366,22,0.306,0.912
0.917,0.945,0.407,0.332,758,14,0.344,0.972
0.933,0.973,0.367,0.234,199,19,0.366,0.958
0.903,0.96,0.441,0.283,233,26,0.432,0.929
0.898,0.926,0.452,0.384,342,38,0.33,0.877
0.942,0.981,0.339,0.197,171,33,0.383,0.814
0.909,0.987,0.428,0.162,256,9,0.337,0.965
0.924,0.977,0.39,0.216,192,8,0.429,1.0
0.898,0.974,0.452,0.229,342,12,0.319,0.921
0.875,0.916,0.5,0.41,604,16,0.247,0.98
0.859,0.935,0.53,0.362,268,13,0.392,0.918
0.923,0.972,0.393,0.235,303,15,0.278,0.964
0.827,0.917,0.588,0.408,199,26,0.255,0.784
0.864,0.96,0.522,0.283,250,15,0.304,0.9
0.929,0.974,0.378,0.228,224,3,0.407,0.963
0.875,0.928,0.499,0.38,187,12,0.397,0.936
0.867,0.982,0.516,0.19,191,12,0.342,0.977
0.881,0.965,0.488,0.264,278,16,0.345,0.898
