orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2,orig_vs_same_edit,orig_vs_diff_edit,orig_vs_same_bow,orig_vs_diff_bow
0.849,0.967,0.549,0.258,177,7,0.327,0.875
0.906,0.975,0.433,0.222,868,21,0.427,0.985
0.937,0.991,0.356,0.132,488,9,0.469,0.982
0.86,0.983,0.529,0.187,255,6,0.386,0.952
0.878,0.914,0.493,0.414,119,4,0.214,0.955
0.816,0.974,0.606,0.229,237,12,0.273,0.852
0.883,0.991,0.483,0.132,349,4,0.267,1.0
0.951,0.975,0.315,0.224,151,8,0.404,0.923
0.937,0.991,0.355,0.134,210,3,0.375,0.98
0.902,0.987,0.443,0.164,647,22,0.298,0.961
0.903,0.991,0.441,0.133,640,32,0.359,0.96
0.845,0.924,0.556,0.39,336,8,0.268,0.944
0.84,0.978,0.566,0.209,195,6,0.303,0.917
0.839,0.948,0.567,0.323,133,2,0.273,0.917
0.849,0.957,0.55,0.293,141,14,0.268,0.759
0.883,0.997,0.485,0.072,178,8,0.441,0.949
0.827,0.964,0.587,0.267,169,2,0.281,0.97
0.811,0.884,0.615,0.481,172,6,0.293,0.833
0.868,0.977,0.514,0.214,319,27,0.267,0.88
0.892,0.982,0.466,0.19,399,7,0.333,0.961
