orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2,orig_vs_same_edit,orig_vs_diff_edit,orig_vs_same_bow,orig_vs_diff_bow
0.886,0.949,0.477,0.318,217,14,0.333,0.837
0.92,0.985,0.4,0.171,312,16,0.291,0.979
0.864,0.939,0.521,0.349,237,27,0.356,0.878
0.918,0.965,0.406,0.264,98,4,0.281,0.952
0.897,0.989,0.455,0.146,163,1,0.377,0.943
0.776,0.956,0.67,0.296,134,10,0.136,0.913
0.889,0.947,0.471,0.327,159,20,0.314,0.935
0.933,0.99,0.366,0.143,185,10,0.353,0.976
0.91,0.971,0.423,0.242,112,3,0.361,0.944
0.905,0.986,0.435,0.165,161,3,0.314,0.938
0.913,0.979,0.418,0.204,205,8,0.303,0.977
0.869,0.988,0.512,0.154,234,4,0.36,0.978
0.855,0.963,0.539,0.272,163,4,0.235,0.967
0.851,0.97,0.545,0.246,123,10,0.224,0.931
0.815,0.978,0.608,0.21,117,9,0.297,0.909
0.902,0.98,0.443,0.201,514,12,0.454,1.0
0.88,0.994,0.49,0.11,248,4,0.294,1.0
0.903,0.965,0.44,0.263,82,13,0.25,0.789
0.842,0.953,0.562,0.307,268,10,0.29,0.943
0.901,0.901,0.445,0.445,98,4,0.324,0.947
