orig_vs_same_cos,orig_vs_diff_cos,orig_vs_same_L2,orig_vs_diff_L2,orig_vs_same_edit,orig_vs_diff_edit,orig_vs_same_bow,orig_vs_diff_bow
0.954,0.938,0.303,0.353,231,29,0.395,0.833
0.79,0.901,0.648,0.446,112,8,0.242,0.842
0.808,0.92,0.62,0.399,183,8,0.357,0.889
0.893,0.859,0.462,0.53,135,15,0.269,0.857
0.874,0.951,0.501,0.312,251,9,0.328,0.93
0.805,0.914,0.624,0.415,177,8,0.269,0.885
0.827,0.922,0.588,0.396,96,7,0.342,0.923
0.939,0.938,0.349,0.351,180,14,0.25,0.848
0.942,0.988,0.339,0.152,182,16,0.25,0.86
0.894,0.864,0.46,0.521,35,8,0.421,0.786
0.793,0.992,0.643,0.128,153,4,0.14,0.933
0.819,0.848,0.602,0.552,168,12,0.19,0.789
0.839,0.895,0.567,0.459,200,17,0.405,0.932
0.888,0.952,0.474,0.311,269,19,0.275,0.929
0.887,0.962,0.475,0.277,212,51,0.304,0.804
0.877,0.988,0.496,0.153,250,9,0.354,0.952
0.866,0.946,0.517,0.328,339,20,0.337,0.932
0.923,0.951,0.392,0.312,140,9,0.367,0.93
0.846,0.922,0.554,0.396,54,8,0.333,0.85
0.843,0.972,0.561,0.236,189,4,0.333,0.966
