Doc,Obls,Score,Rank
2 from Sanchez,"{'unmatchedList1': [], 'unmatchedList2': [], 'identical': [['The Company must continue to perform all agreements and obligations contained herein for so long as Indemnitee may have any liability or potential liability by virtue of serving or having served as an officer or director of the Company or at the request of the Company as a director, officer, partner, trustee, member, employee or agent of another corporation, partnership, joint venture, trust, limited liability company or other enterprise.', [1], [1]], ['This Agreement must be binding upon, inure to the benefit of, and be enforceable by the parties hereto and their respective successors (including any direct or indirect successor by purchase, merger, consolidation or otherwise to all or substantially all of the business or assets of the Company), assigns, spouses, heirs, executors and personal and legal representatives.', [2], [2]]], 'opposite': []}",1.0
Gulfport,"{'unmatchedList1': [['All agreements and obligations of the Company under this Agreement must continue for so long as Indemnitee may have any liability or potential liability by virtue of serving or having served at the request of the Company as a partner, trustee, member of a limited liability company or other enterprise.', [1]]], 'unmatchedList2': [[""All agreements and obligations of the Company under this Agreement must continue thereafter so long as Indemnitee is subject to any Proceeding (or any proceeding commenced under Section 8 hereof) by reason of Indemnitee's Corporate Status, whether or not Indemnitee is acting or serving in any such capacity at the time any liability or expense is incurred for which indemnification can be provided under this Agreement."", [1]], ['The Company must require and cause any successor (whether direct or indirect by purchase, merger, consolidation or otherwise) to all, substantially all or a substantial part of the business or assets of the Company, by written agreement, to expressly assume and agree to perform this Agreement in the same manner and to the same extent that the Company would be required to perform if no such succession had taken place.', [3]]], 'identical': [['All agreements and obligations of the Company under this Agreement must continue for so long as Indemnitee may have any liability or potential liability by virtue of serving or having served as an officer or director of the Company or at the request of the Company as a director, officer, employee or agent of another corporation, partnership, joint venture, trust or other enterprise.', [1], [1]], ['This Agreement must be binding upon, inure to the benefit of, and be enforceable by the parties and their respective successors (including any direct or indirect successor by purchase, merger, consolidation or otherwise to all or substantially all of the business or assets of the Company), assigns, spouses, heirs, executors and personal and legal representatives.', [2], [2]]], 'opposite': []}",0.4,1
TTM,"{'unmatchedList1': [['All agreements and obligations of the Company continue for so long as Indemnitee may have any liability or potential liability by virtue of serving or having served as an officer or director of the Company or at the request of the Company as a director, officer, partner, trustee, member, employee or agent of another corporation, partnership, joint venture, trust, limited liability company or other enterprise.', [1]]], 'unmatchedList2': [[""All agreements and obligations of the Company continue during the period Indemnitee is an officer or director of the Company (or is or was serving at the request of the Company as a director, officer, employee, or agent of another corporation, partnership, joint venture, trust or other enterprise) and thereafter so long as Indemnitee shall be subject to any Proceeding (or any proceeding commenced under Section 7 hereof) by reason of Indemnitee's Corporate Status, whether or not he is acting or serving in any such capacity at the time any liability or expense is incurred for which indemnification can be provided under this Agreement."", [1]]], 'identical': [['The Agreement is binding upon and enforceable by the parties and their respective successors, assigns, spouses, heirs, executors, and personal and legal representatives.', [2], []]], 'opposite': []}",0.3333333333333333,2
Inseego,"{'unmatchedList1': [['All agreements and obligations of the Company continue for so long as Indemnitee may have any liability or potential liability by virtue of serving or having served as an officer or director of the Company or at the request of the Company as a director, officer, partner, trustee, member, employee or agent of another entity.', [1]]], 'unmatchedList2': [[""All agreements and obligations of the Company continue until six years after Indemnitee's Corporate Status terminates, or longer if any statute of limitation is tolled, and continue thereafter so long as Indemnitee is subject to any Proceeding by reason of his Corporate Status."", [1]]], 'identical': [['This Agreement is binding upon and enforceable by the parties and their successors, assigns, spouses, heirs, executors, and personal and legal representatives.', [2], [2]]], 'opposite': []}",0.3333333333333333,2
Entellus,"{'unmatchedList1': [['All agreements and obligations of the Company continue for so long as Indemnitee may have any liability or potential liability by virtue of serving or having served as an officer or director of the Company or at the request of the Company as a director, officer, partner, trustee, member, employee or agent of another entity', [1]]], 'unmatchedList2': [[""All agreements and obligations of the Company continue until six years after Indemnitee's Corporate Status terminates and continue thereafter so long as Indemnitee is subject to any Proceeding by reason of Corporate Status, whether or not acting or serving in such capacity at the time any liability or expense is incurred for which indemnification can be provided under this Agreement"", [1]]], 'identical': [['Agreement is binding upon and enforceable by the parties and their respective successors, assigns, spouses, heirs, executors, and personal and legal representatives', [2], [2]]], 'opposite': []}",0.3333333333333333,2
Earthstone,"{'unmatchedList1': [['All agreements and obligations of the Company continue for so long as Indemnitee may have any liability or potential liability by virtue of serving or having served as an officer or director of the Company or at the request of the Company as a director, officer, partner, trustee, member, employee or agent of another corporation, partnership, joint venture, trust, limited liability company or other enterprise.', [1]]], 'unmatchedList2': [['All agreements and obligations of the Company continue during the period Indemnitee is an officer or director of the Company (or is or was serving at the request of the Company as a director, officer, employee or agent of another Person) and thereafter so long as Indemnitee is, or may be made, the subject to any Proceeding (or any proceeding commenced under Section 7) by reason of his or her Corporate Status, regardless of whether he or she is acting or serving in any such capacity at the time any liability or Expense is incurred for which indemnification can be provided under this Agreement.', [1]]], 'identical': [['This Agreement is binding upon and enforceable by the parties and their respective successors, assigns, spouses, heirs, executors, and personal and legal representatives.', [2], [2]]], 'opposite': []}",0.3333333333333333,2
Mammoth,"{'unmatchedList1': [['All agreements and obligations of the Company contained herein shall continue for so long as Indemnitee may have any liability or potential liability by virtue of serving or having served as an officer or director of the Company or at the request of the Company as a director, officer, partner, trustee, member, employee or agent of another corporation, partnership, joint venture, trust, limited liability company or other enterprise.', [1]]], 'unmatchedList2': [['All agreements and obligations of the Company contained herein shall continue for so long as Indemnitee may have any liability or potential liability by virtue of serving as an officer or director of the Company or the Covered Entities.', [1]], [""All agreements and obligations of the Company contained herein shall continue thereafter so long as Indemnitee shall be subject to any Proceeding (or any proceeding commenced under Section 7) by reason of Indemnitee's Covered Status, whether or not Indemnitee is acting or serving in any such capacity at the time any liability or Expense is incurred for which indemnification can be provided under this Agreement."", [1]]], 'identical': [['This Agreement shall be binding upon and inure to the benefit of and be enforceable by the parties hereto and their respective successors, assigns, spouses, heirs, executors and personal and legal representatives.', [2], [2]]], 'opposite': []}",0.25,3
Angel Pond,"{'unmatchedList1': [['This Agreement shall be binding upon and inure to the benefit of and be enforceable by the parties and their respective successors, assigns, spouses, heirs, executors and personal and legal representatives.', [2]]], 'unmatchedList2': [['The agreements and obligations of the Company in this Agreement shall continue during the period Indemnitee serves or has served as an employee, agent, director or officer of the Company (including serving the Company at the direction of Angel Pond Partners LLC pursuant to the Administrative Services Agreement dated as of January 26, 2021 with the Company) or as a director, officer, trustee, partner, manager, managing member, fiduciary, employee or agent of any other company, partnership, joint venture, trust, employee benefit plan or other Enterprise which Indemnitee serves at the request of the Company.', [1]], [""The agreements and obligations of the Company in this Agreement shall continue thereafter so long as Indemnitee shall be subject to any possible Proceeding (including any rights of appeal thereto and any Proceeding commenced by Indemnitee pursuant to Section 14 of this Agreement) by reason of Indemnitee's Corporate Status, whether or not Indemnitee is acting in any such capacity at the time any liability or expense is incurred for which indemnification or advancement can be provided under this Agreement."", [1]]], 'identical': [['The agreements and obligations of the Company in this Agreement shall continue for so long as Indemnitee may have liability or potential liability by virtue of serving or having served as an officer or director of the Company or at the request of the Company as a director, officer, partner, trustee, member, employee or agent of another entity.', [1], [1]]], 'opposite': []}",0.25,3
Opgen,"{'unmatchedList1': [['All agreements and obligations of the Company contained herein shall continue for so long as Indemnitee may have any liability or potential liability by virtue of serving or having served as an officer or director of the Company or at the request of the Company as a director, officer, partner, trustee, member, employee or agent of another corporation, partnership, joint venture, trust, limited liability company or other enterprise.', [1]]], 'unmatchedList2': [['All agreements and obligations of the Company contained herein shall continue during the period Indemnitee is an officer or director of the Company (or is or was serving at the request of the Company as a director, officer, employee or agent of another corporation, partnership, joint venture, trust or other enterprise) and shall continue thereafter until and terminate upon the later of: (a) ten (10) years after the date that Indemnitee shall have ceased to serve as a director of the Company or (b) one (1) year after the final termination of any Proceeding (or any proceeding commenced under Section 7 hereof) then pending in respect of which Indemnitee is granted rights of indemnification or advancement of Expenses hereunder.', [1]], [""To the extent requested by Indemnitee and approved by the Board of Directors of the Company, the Company may at any time and from time to time provide security to Indemnitee for the Company's obligations hereunder through an irrevocable bank line of credit, funded trust or other collateral."", [4]], ['Any such security, once provided to Indemnitee, may not be revoked or released without the prior written consent of the Indemnitee.', [5]]], 'identical': [['This Agreement shall be binding upon and inure to the benefit of and be enforceable by the parties and their respective successors, assigns, spouses, heirs, executors and personal and legal representatives.', [2], [3]]], 'opposite': []}",0.2,4
Gi Dynamics,"{'unmatchedList1': [['All agreements and obligations of the Company must continue for so long as Indemnitee may have any liability or potential liability by virtue of serving or having served as an officer or director of the Company or at the request of the Company as a director, officer, partner, trustee, member, employee or agent of another corporation, partnership, joint venture, trust, limited liability company or other enterprise.', [1]]], 'unmatchedList2': [['All agreements and obligations of the Company must continue during the period Indemnitee is an officer or director of the Company (or is or was serving at the request of the Company as a director, officer, employee or agent of another corporation, partnership, joint venture, trust or other enterprise) and must continue thereafter, whether or not he is acting or serving in any such capacity at the time any liability or expense is incurred for which indemnification can be provided under this Agreement.', [1]], [""To the extent requested by Indemnitee and approved by the Board, the Company may provide security to Indemnitee for the Company's obligations through an irrevocable bank line of credit, funded trust or other collateral."", [3]], ['Any security provided to Indemnitee may not be revoked or released without the prior written consent of the Indemnitee.', [4]]], 'identical': [['This Agreement must be binding upon, inure to the benefit of, and be enforceable by the parties and their respective successors, assigns, spouses, heirs, executors, and personal and legal representatives.', [2], [2]]], 'opposite': []}",0.2,4
