Doc,Obls,Score,Rank
Vistas,"{'unmatchedList1': [], 'unmatchedList2': [], 'identical': [['Company MUST indemnify the Advisor and its affiliates and related persons in accordance with Annex I (incorporated by reference).', [1], [1]], ['Advisor MUST NOT have any right, title, interest, or claim in or to any assets held in the Trust Account as a result of entering into this Agreement (now or at any time hereafter).', [3], [3]], ['Advisor MUST NOT make any claim against the Trust Account as a result of entering into this Agreement, regardless of legal theory (Released Claims).', [3], [3]], ['Advisor MUST irrevocably waive any Released Claims it may have against the Trust Account now or in the future as a result of, or arising out of, any Services provided under the Agreement.', [4], [4]], ['Advisor MUST NOT seek recourse against the Trust Account with respect to Released Claims / Services provided under the Agreement.', [4], [4]]], 'opposite': []}",1.0
8 from 3,"{'unmatchedList1': [], 'unmatchedList2': [['Without the Advisor’s prior written consent, the Company and its affiliates (and their directors, officers, managers, partners, members, employees, and agents) must not quote or refer to the Advisor’s name or advice/communications in connection with performance of the Services, except as required by applicable federal or state law, regulation, or securities exchange rule.', [5]]], 'identical': [['Company must indemnify the Advisor and its affiliates and related persons in accordance with Annex I (incorporated by reference).', [1], [1]], ['Advisor acknowledges Company has established the Trust Account containing IPO and certain private placement proceeds (including interest accrued from time to time) for the benefit of the Company’s public shareholders and certain other parties.', [2], [2]], ['Advisor agrees it has no present or future right, title, interest, or claim to any Trust Account assets as a result of entering into the Agreement.', [3], [3]], ['Advisor must not make any claim against the Trust Account as a result of entering into the Agreement, regardless of legal theory (Released Claims).', [3], [3]], ['Advisor irrevocably waives any Released Claims it may have against the Trust Account now or in the future arising from the Services.', [4], [4]], ['Advisor must not seek recourse against the Trust Account with respect to Released Claims arising from the Services.', [4], [4]]], 'opposite': []}",0.8571428571428571,1
3 from 2 (1),"{'unmatchedList1': [], 'unmatchedList2': [[""Advisor MUST acknowledge the Trust Account is for the benefit of the Company's public stockholders and certain other parties, including the underwriters of the IPO."", [2]]], 'identical': [['Company MUST indemnify the Advisor and specified related persons in accordance with Annex I (incorporated by reference).', [1], [1]], ['Advisor MUST NOT have any right, title, interest, or claim in or to any assets held in the Trust Account as a result of entering into this Agreement (now or at any time hereafter).', [3], [3]], ['Advisor MUST NOT make any claim against the Trust Account as a result of entering into this Agreement, regardless of legal theory (Released Claims).', [3], [3]], ['Advisor MUST irrevocably waive any Released Claims against the Trust Account now or in the future as a result of, or arising out of, any Services provided under the Agreement.', [4], [4]], ['Advisor MUST NOT seek recourse against the Trust Account with respect to Released Claims arising from the Services.', [4], [4]]], 'opposite': []}",0.8333333333333334,2
6 from 3,"{'unmatchedList1': [], 'unmatchedList2': [[""Company and its affiliates (and their specified related persons) MUST NOT quote or refer to the Advisor's name without the Advisor's prior written consent, except as required by applicable law/regulation/securities exchange rule"", [5]], [""Company and its affiliates (and their specified related persons) MUST NOT quote or refer to advice rendered by the Advisor / communications from the Advisor in connection with Services performance without the Advisor's prior written consent, except as required by applicable law/regulation/securities exchange rule"", [5]]], 'identical': [['Company MUST indemnify the Advisor and its affiliates and related persons as set forth in Annex I (incorporated by reference)', [1], [1]], ['Advisor MUST NOT have any right/title/interest/claim in assets held in the Trust Account as a result of entering into this Agreement (now or at any time hereafter)', [3], [3]], ['Advisor MUST NOT make any claim against the Trust Account as a result of entering into this Agreement, regardless of legal theory (Released Claims)', [3], [3]], ['Advisor MUST irrevocably waive any Released Claims against the Trust Account now or in the future arising from the Services', [4], [4]], ['Advisor MUST NOT seek recourse against the Trust Account with respect to Services provided under the Agreement', [4], [4]]], 'opposite': []}",0.7142857142857143,3
Global Blockchain,"{'unmatchedList1': [['Advisor MUST NOT now or at any time hereafter have any right, title, interest, or claim in or to any assets held in the Trust Account as a result of entering into this Agreement', [3]], ['Advisor MUST NOT make any claim against the Trust Account as a result of entering into this Agreement, regardless of legal theory (contract, tort, equity, or otherwise)', [3]], ['Advisor waiver/non-recourse applies to Released Claims arising out of any Services provided to the Company under the Agreement', [4]], [""Trust Account is stated to contain IPO and simultaneous private placement proceeds (including interest accrued from time to time) for the benefit of the Company's public shareholders and certain other parties"", [2]]], 'unmatchedList2': [['Indemnity provisions in Section 5 and Annex I MUST remain unaffected by any election, termination, failure to carry out the Agreement, or whether the Agreement is otherwise carried out', [3]], ['Each Advisor trust-account waiver/non-recourse applies ONLY if there is no Closing and ONLY with respect to the foregoing indemnity', [4]], [""Company and its affiliates/personnel MUST NOT quote or refer to the Advisor's name or advice/communications in connection with services WITHOUT the Advisor's prior written consent, EXCEPT as required by applicable law/regulation/securities exchange rule"", [5]], [""Each Advisor MAY permit (consents to) use of the Advisor's name and specified descriptions of the Agreement/services/Transaction Fee in specified SEC filings and transaction documents"", [6]], [""For Section 5 and Annex I, if a Closing occurs, 'Company' refers to the post-Business Combination combined entity"", [2]]], 'identical': [['Company MUST indemnify the Advisor(s) and their affiliates and related persons as set forth in Annex I', [2], [2]], ['Advisor(s) MUST waive any claim against the Trust Account', [4], [4]], ['Advisor(s) MUST NOT seek recourse against the Trust Account for such claims', [4], [4]]], 'opposite': []}",0.25,4
Sportsmap,"{'unmatchedList1': [['Advisor must not now or at any time in the future have any right/title/interest/claim in any assets held in the Trust Account as a result of entering into the Agreement.', [3]], ['Advisor must not make any claim against the Trust Account as a result of entering into the Agreement, regardless of legal theory (Released Claims).', [3]], ['Advisor irrevocably waives any Released Claims against the Trust Account now or in the future arising out of Services provided under the Agreement.', [4]], ['Advisor must not seek recourse against the Trust Account with respect to Services provided under the Agreement.', [4]]], 'unmatchedList2': [['Condition: the following Trust Account claim waivers/applications apply if there is no Closing.', [3]], ['If there is no Closing, Advisor must not have any right/title/interest/claim in any monies in the Trust Account with respect to the Agreement.', [3]], ['If there is no Closing, Advisor waives any future Claim arising out of services provided under the Agreement.', [3]], ['If there is no Closing, Advisor must not seek recourse against the Trust Account with respect to the Fee.', [3]], ['Absent Advisor’s prior written consent, Company and its affiliates (and their covered personnel) must not quote or refer to the Advisor’s name or advice/communications in connection with Services, except as required by applicable law/regulation/securities exchange rule.', [4]], ['If disclosure is required, Company must provide Advisor a draft of the disclosure prior to it being made.', [5]], ['If disclosure is required, Company must give Advisor a reasonable opportunity to comment on the disclosure before it is made.', [5]]], 'identical': [['Company must indemnify the Advisor and its specified related persons/affiliates per Annex I.', [1], [1]], ['Advisor acknowledges Company has established the Trust Account holding IPO/private placement proceeds (including interest) for the benefit of public shareholders and certain other parties.', [2], [2]]], 'opposite': []}",0.15384615384615385,5
Distoken,"{'unmatchedList1': [['Advisor MUST NOT now or at any time in the future have any right, title, interest, or claim of any kind in or to any assets held in the Trust Account as a result of entering into this Agreement.', [3]], ['Advisor MUST NOT make any claim against the Trust Account as a result of entering into this Agreement, regardless of legal theory (Released Claims).', [3]], ['Advisor MUST irrevocably waive any Released Claims it may have against the Trust Account now or in the future as a result of, or arising out of, any of the Services provided to the Company hereunder.', [4]], ['Advisor MUST NOT seek recourse against the Trust Account with respect to Services provided to the Company hereunder.', [4]]], 'unmatchedList2': [['If there is no Closing, Advisor MUST NOT have any right, title, interest, or claim of any kind in or to any monies in the Trust Account with respect to this Agreement (each, a Claim).', [2]], ['If there is no Closing, Advisor MUST waive any Claim it may have in the future as a result of, or arising out of, any services provided to the Company hereunder.', [2]], ['If there is no Closing, Advisor MUST NOT seek recourse against the Trust Account with respect to the Fee.', [2]]], 'identical': [['Company MUST indemnify the Advisor and its affiliates and their directors, officers, employees, shareholders, representatives, and agents in accordance with Annex I (incorporated by reference).', [1], [1]]], 'opposite': []}",0.125,6
2 from 2,"{'unmatchedList1': [['Advisor MUST NOT now or at any time hereafter have any right/title/interest/claim in or to any assets held in the Trust Account as a result of entering into this Agreement.', [3]], ['Advisor MUST NOT make any claim against the Trust Account as a result of entering into this Agreement, regardless of legal theory (Released Claims).', [3]], ['Advisor MUST irrevocably waive any Released Claims it may have against the Trust Account now or in the future as a result of, or arising out of, any Services provided to the Company under the Agreement.', [4]], ['Advisor MUST NOT seek recourse against the Trust Account with respect to Services provided under the Agreement.', [4]]], 'unmatchedList2': [['If there is no Closing, Advisor MUST NOT have any right/title/interest/claim in or to any monies in the Trust Account with respect to this Agreement.', [2]], ['If there is no Closing, Advisor MUST waive any Claim it may have in the future as a result of, or arising out of, any services provided to the Company under the Agreement.', [2]], ['If there is no Closing, Advisor MUST NOT seek recourse against the Trust Account with respect to the Fee.', [2]], [""Without Advisor's prior written consent (not unreasonably withheld/conditioned/delayed), Company and its affiliates MUST NOT quote or refer (in SEC filings) to any advice rendered by the Advisor or any communication from the Advisor in connection with performance of the services, except as required by applicable federal or state law, regulation, or securities exchange rule."", [3]]], 'identical': [['Company MUST indemnify the Advisor and its affiliates and their directors/officers/employees/shareholders/representatives/agents in accordance with Annex I (incorporated by reference).', [1], [1]]], 'opposite': []}",0.1111111111111111,7
Growth Capital,"{'unmatchedList1': [['Advisor must not have any right, title, interest, or claim in or to any assets held in the Trust Account as a result of entering into the Agreement', [3]], ['Advisor must not make any claim against the Trust Account as a result of entering into the Agreement (regardless of legal theory)', [3]], ['Advisor irrevocably waives any Released Claims against the Trust Account now or in the future as a result of or arising out of any Services provided under the Agreement', [4]], ['Advisor must not seek recourse against the Trust Account with respect to Services provided under the Agreement', [4]]], 'unmatchedList2': [['If there is no Closing, Advisor must not have any right, title, interest, or claim in or to any monies in the Trust Account with respect to the Fee', [2]], ['If there is no Closing, Advisor waives any future Claim against the Trust Account arising out of services provided under the Agreement', [2]], ['If there is no Closing, Advisor must not seek recourse against the Trust Account with respect to the Fee', [2]], [""Absent the Advisor's prior written consent, the Company and its affiliates must not quote or refer to the Advisor's name except as required by applicable federal or state law, regulation, or securities exchange rule"", [3]], [""Absent the Advisor's prior written consent, the Company and its affiliates must not quote or refer to any advice rendered by the Advisor or any communication from the Advisor in connection with performance of services, except as required by applicable federal or state law, regulation, or securities exchange rule"", [3]]], 'identical': [['Company must indemnify the Advisor and its affiliates and related persons in accordance with Annex I (incorporated by reference)', [1], [1]]], 'opposite': []}",0.1,8
Northview,"{'unmatchedList1': [['Advisor MUST NOT now or at any time in the future have any right, title, interest, or claim in or to assets held in the Trust Account as a result of entering into this Agreement (Released Claims).', [3]], ['Advisor MUST NOT make any claim against the Trust Account as a result of entering into this Agreement, regardless of legal theory (Released Claims).', [3]], ['Advisor MUST irrevocably waive any Released Claims against the Trust Account now or in the future that arise out of services provided under the agreement.', [4]], ['Advisor MUST NOT seek recourse against the Trust Account with respect to Released Claims arising out of services provided under the agreement.', [4]]], 'unmatchedList2': [['If there is no Closing, Advisors MUST acknowledge they have no right, title, interest, or claim to any monies in the Trust Account with respect to the foregoing indemnity (Claim).', [2]], ['If there is no Closing, Advisors MUST waive any future Claim with respect to the foregoing indemnity.', [2]], ['If there is no Closing, Advisors MUST NOT seek recourse against the Trust Account with respect to any Claim relating to the foregoing indemnity.', [2]], [""Company and its affiliates MUST NOT quote or refer to the Advisors' name without the Advisors' prior written consent, except as required by applicable federal/state law, regulation, or securities exchange rule."", [3]], [""Company and its affiliates MUST NOT quote or refer to any advice rendered by the Advisors or any related communications without the Advisors' prior written consent, except as required by applicable federal/state law, regulation, or securities exchange rule."", [3]], [""Advisors MAY permit use of the Advisors' name and a description of the agreement (including general description of services and the fee) in the specified SEC filings and transaction materials."", [4]]], 'identical': [['Company MUST indemnify the Advisor(s) and their affiliates and related persons in accordance with Annex I (incorporated by reference).', [1], [1]]], 'opposite': []}",0.09090909090909091,9
