Doc,Obls,Score,Rank
3 from QuickLogic,"{'unmatchedList1': [], 'unmatchedList2': [], 'identical': [['Upon a Participant ceasing to be an Eligible Employee (for any reason), the Participant is deemed to have elected to withdraw from the Plan.', [1], [1]], ['Upon a Participant ceasing to be an Eligible Employee (for any reason), payroll deductions credited to the Participant’s account during the Offering Period but not yet used to purchase shares under the Plan must be returned to the Participant; if the Participant is deceased, returned to the person(s) entitled under Section 15.', [1], [1]], ['Upon a Participant ceasing to be an Eligible Employee (for any reason), the Participant’s option is automatically terminated.', [1], [1]]], 'opposite': []}",1.0
Netgear,"{'unmatchedList1': [], 'unmatchedList2': [], 'identical': [['Upon a Participant ceasing to be an Eligible Employee for any reason, the Participant is deemed to have elected to withdraw from the Plan', [1], [1]], ['Upon a Participant ceasing to be an Eligible Employee for any reason, unused payroll deductions credited to the Participant’s account during the Offering Period must be returned to the Participant (or, if deceased, to the person(s) entitled under Section 15)', [1], [1]], ['Upon a Participant ceasing to be an Eligible Employee for any reason, the Participant’s option is automatically terminated', [1], [1]]], 'opposite': []}",1.0,1
3 from Arlo,"{'unmatchedList1': [], 'unmatchedList2': [], 'identical': [['Upon a Participant’s ceasing to be an Eligible Employee (for any reason), the Participant is deemed to have elected to withdraw from the Plan', [1], [1]], ['Upon a Participant’s ceasing to be an Eligible Employee (for any reason), payroll deductions credited to the Participant’s account during the Offering Period but not yet used to purchase shares under the Plan must be returned to the Participant', [1], [1]], ['Upon a Participant’s ceasing to be an Eligible Employee (for any reason) and in the case of the Participant’s death, payroll deductions credited to the Participant’s account during the Offering Period but not yet used to purchase shares under the Plan must be returned to the person(s) entitled under Section 15', [1], [1]], ['Upon a Participant’s ceasing to be an Eligible Employee (for any reason), the Participant’s option is automatically terminated', [1], [1]]], 'opposite': []}",1.0,1
Alector,"{'unmatchedList1': [], 'unmatchedList2': [['Unless otherwise provided by the Administrator, a Participant whose employment transfers between entities through a termination with an immediate rehire (with no break in service) by the Company or a Designated Company will not be treated as terminated under the Plan', [2]], ['Unless otherwise provided by the Administrator, if a Participant transfers from an Offering under the 423 Component to the Non-423 Component, the option exercise will be qualified under the 423 Component only to the extent it complies with Section 423 of the Code', [2]]], 'identical': [['Upon a Participant ceasing to be an Eligible Employee (for any reason), the Participant is deemed to have elected to withdraw from the Plan', [1], [1]], ['Upon a Participant ceasing to be an Eligible Employee (for any reason), contributions/payroll deductions credited to the Participant’s account during the Offering Period but not yet used to purchase shares under the Plan must be returned to the Participant (or, if deceased, to the person(s) entitled under Section 15)', [1], [1]], ['Upon a Participant ceasing to be an Eligible Employee (for any reason), the Participant’s option is automatically terminated', [1], [1]]], 'opposite': []}",0.6,2
2 from 2,"{'unmatchedList1': [['Returned payroll deductions are limited to those credited during the Offering Period but not yet used to purchase shares under the Plan.', [1]]], 'unmatchedList2': [[""Payroll deductions credited to the participant's account during the Offering Period must be paid to the participant (or, in case of death, to the persons entitled under Section 15) as soon as reasonably practicable."", [1]]], 'identical': [['Upon a Participant ceasing to be an Eligible Employee (for any reason), the Participant is deemed to have elected to withdraw from the Plan.', [1], [1]], [""Upon a Participant ceasing to be an Eligible Employee (for any reason), the Participant's option is automatically terminated."", [1], [1]]], 'opposite': []}",0.5,3
Cytokinetics,"{'unmatchedList1': [[""Condition uses 'Participant’s ceasing to be an Eligible Employee' (rather than ceasing to be an Employee) as the trigger for the withdrawal/return/termination consequences"", [1]]], 'unmatchedList2': [['A participant who receives payment in lieu of notice of termination of employment must be treated as continuing to be an Employee for the participant’s customary number of hours per week during the period subject to such payment in lieu of notice (notwithstanding the preceding sentence)', [2]], [""Condition uses 'participant’s ceasing to be an Employee' (rather than ceasing to be an Eligible Employee) as the trigger for the withdrawal/return/termination consequences"", [1]]], 'identical': [['Upon a participant ceasing to be an employee (for any reason), the participant is deemed to have elected to withdraw from the Plan', [1], [1]], ['Upon a participant ceasing to be an employee (for any reason), payroll deductions credited to the participant’s account during the Offering Period but not yet used to purchase shares under the Plan must be returned to the participant (or, if the participant has died, to the person(s) entitled under Section 15)', [1], [1]], ['Upon a participant ceasing to be an employee (for any reason), the participant’s option is automatically terminated', [1], [1]]], 'opposite': []}",0.5,3
Dolby,"{'unmatchedList1': [[""In the case of the participant's death, payroll deductions credited during the Offering Period but not yet used to purchase shares under the Plan must be returned to the person(s) entitled under Section 15."", [1]]], 'unmatchedList2': [[""Payroll contributions (in addition to payroll deductions) credited to the participant's account during the Offering Period but not yet used to purchase shares of Common Stock under the Plan must be returned to the participant (or applicable death recipient)."", [1]], [""In the case of the participant's death, payroll deductions or contributions credited during the Offering Period but not yet used to purchase shares of Common Stock under the Plan must be returned to the administrator of the participant's estate."", [1]]], 'identical': [['Upon a participant ceasing to be an Eligible Employee for any reason, the participant is deemed to have elected to withdraw from the Plan.', [1], [1]], [""Upon a participant ceasing to be an Eligible Employee for any reason, the participant's option is automatically terminated."", [1], [1]], [""Upon a participant ceasing to be an Eligible Employee for any reason, payroll deductions credited to the participant's account during the Offering Period but not yet used to purchase shares under the Plan must be returned to the participant."", [1], [1]]], 'opposite': []}",0.5,3
Clovis Oncology,"{'unmatchedList1': [['Returned/paid amounts are limited to payroll deductions during the Offering Period not yet used to purchase shares under the Plan', [1]]], 'unmatchedList2': [['Returned/paid amounts include any balance retained in the Participant’s account from a prior Offering Period (if any)', [1]], ['Payment/return must be made as soon as reasonably practicable', [1]], ['The Participant’s option is automatically terminated specifically for the Offering Period', [1]]], 'identical': [['Upon a Participant ceasing to be an Eligible Employee for any reason, the Participant is deemed to have elected to withdraw from the Plan', [1], [1]], ['Upon a Participant ceasing to be an Eligible Employee for any reason, the Participant’s option is automatically terminated', [1], [1]], ['Upon a Participant ceasing to be an Eligible Employee for any reason, payroll deductions credited to the Participant’s account during the Offering Period are to be returned/paid to the Participant, or upon death to the person(s) entitled under Section 15', [1], [1]]], 'opposite': []}",0.42857142857142855,4
Arena,"{'unmatchedList1': [['Trigger condition applies upon ceasing to be an Eligible Employee (as opposed to ceasing to be an Employee)', [1]], ['Returned payroll deductions are limited to those not yet used to purchase shares under the Plan', [1]]], 'unmatchedList2': [['Returned payroll deductions are limited to those not yet used to exercise the option', [1]], [""No interest shall accrue on a participant's payroll deductions in the Plan"", [2]]], 'identical': [['Upon a participant ceasing to be an employee (for any reason), the participant is deemed to have elected to withdraw from the Plan', [1], [1]], ['Upon a participant ceasing to be an employee (for any reason), unused payroll deductions credited during the Offering Period must be returned to the participant (or, upon death, to the person(s) entitled under Section 15)', [1], [1]], [""Upon a participant ceasing to be an employee (for any reason), the participant's option is automatically terminated"", [1], [1]]], 'opposite': []}",0.42857142857142855,4
Ari Network,"{'unmatchedList1': [['Triggering condition is the participant ceasing to be an Eligible Employee (not merely an Employee of the Company).', [1]], ['Returned payroll deductions are those not yet used to purchase shares under the Plan.', [1]]], 'unmatchedList2': [['Triggering condition is the participant ceasing to be an Employee of the Company (not merely an Eligible Employee).', [1]], ['Cessation includes without limitation death, disability, or retirement.', [1]], ['Returned payroll deductions are those not yet used to exercise the option.', [1]]], 'identical': [['Upon a participant ceasing employment for any reason, the participant is deemed to have elected to withdraw from the Plan.', [1], [1]], [""Upon a participant ceasing employment for any reason, unused payroll deductions credited to the participant's account during the Offering Period must be returned to the participant (or, in case of death, to the person(s) entitled under Section 15)."", [1], [1]], [""Upon a participant ceasing employment for any reason, the participant's option is automatically terminated."", [1], [1]]], 'opposite': []}",0.375,5
Lantronix,"{'unmatchedList1': [['Trigger condition is participant ceasing to be an Eligible Employee (rather than an Employee)', [1]], ['Returned payroll deductions are those not yet used to purchase shares under the Plan', [1]]], 'unmatchedList2': [['Returned payroll deductions are those not yet used to exercise the option', [1]], ['Returned payroll deductions must be promptly returned', [1]], ['Trigger condition is participant ceasing to be an Employee (rather than an Eligible Employee)', [1]]], 'identical': [['Upon a participant ceasing to be an employee (for any reason), the participant is deemed to have elected to withdraw from the Plan', [1], [1]], ['Upon a participant ceasing to be an employee (for any reason), the participant’s option is automatically terminated', [1], [1]], ['Upon a participant ceasing to be an employee (for any reason), payroll deductions credited during the Offering Period but not yet used must be returned to the participant (or, in case of death, to the person(s) entitled under Section 15)', [1], [1]]], 'opposite': []}",0.375,5
