Doc,Obls,Score,Rank
Neuralstem,"{'unmatchedList1': [], 'unmatchedList2': [], 'identical': [[0, 0], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7], [8, 8], [9, 9], [10, 10], [11, 11], [12, 12], [13, 13], [14, 14], [15, 15], [16, 16], [17, 17], [18, 18]], 'opposite': []}",1.0
Delcath,"{'unmatchedList1': [9, 18], 'unmatchedList2': [], 'identical': [[0, 0], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7], [8, 8], [10, 9], [11, 10], [12, 11], [13, 12], [14, 13], [15, 14], [16, 15], [17, 16]], 'opposite': []}",0.8947368421052632,1
Dicerna,"{'unmatchedList1': [9, 16, 17, 18], 'unmatchedList2': [9, 16], 'identical': [[0, 0], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7], [8, 8], [10, 10], [11, 11], [12, 12], [13, 13], [14, 14], [15, 15]], 'opposite': []}",0.7142857142857143,2
Plug Power,"{'unmatchedList1': [9, 11, 16, 18], 'unmatchedList2': [10, 11, 16], 'identical': [[0, 0], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7], [8, 8], [10, 9], [12, 12], [13, 13], [14, 14], [15, 15], [17, 17]], 'opposite': []}",0.6818181818181818,3
Tandem Diabetes,"{'unmatchedList1': [1, 2, 8, 9, 13, 14, 15, 16, 17, 18], 'unmatchedList2': [1, 2, 8, 12], 'identical': [[0, 0], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7], [10, 9], [11, 10], [12, 11]], 'opposite': []}",0.391304347826087,4
Helios and Matheson,"{'unmatchedList1': [6, 7, 11, 12, 13, 14, 15, 16, 18], 'unmatchedList2': [6, 10, 11, 12, 13, 14, 15], 'identical': [[0, 0], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [8, 7], [9, 8], [10, 9], [17, 16]], 'opposite': []}",0.38461538461538464,5
Gevo,"{'unmatchedList1': [1, 2, 3, 5, 8, 9, 13, 14, 15], 'unmatchedList2': [4, 5, 9, 10, 11, 12], 'identical': [[0, 0], [6, 1], [7, 2], [4, 3], [10, 6], [11, 7], [12, 8], [16, 13], [17, 14]], 'opposite': []}",0.375,6
BioPharmX,"{'unmatchedList1': [3, 4, 5, 9, 12, 13, 14, 15, 18], 'unmatchedList2': [3, 4, 5, 9, 12, 13, 14, 15], 'identical': [[0, 0], [1, 1], [2, 2], [6, 6], [7, 7], [8, 8], [10, 10], [11, 11], [16, 16], [17, 17]], 'opposite': []}",0.37037037037037035,7
FuelCell,"{'unmatchedList1': [6, 7, 11, 12, 13, 14, 15, 16, 18], 'unmatchedList2': [7, 10, 11, 12, 13, 14, 15, 16, 17], 'identical': [[0, 0], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [8, 6], [9, 8], [10, 9], [17, 18]], 'opposite': []}",0.35714285714285715,8
EnerCore,"{'unmatchedList1': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 18], 'unmatchedList2': [0], 'identical': [[11, 1], [12, 2], [13, 3], [14, 4], [15, 5], [16, 6], [17, 7]], 'opposite': []}",0.35,9
Leap,"{'unmatchedList1': [3, 4, 5, 6, 7, 8, 11, 12, 13, 14, 15, 17, 18], 'unmatchedList2': [3, 5, 6, 8, 9, 10, 11], 'identical': [[0, 0], [1, 1], [2, 2], [9, 4], [10, 4], [16, 7]], 'opposite': []}",0.23076923076923078,10
Axion,"{'unmatchedList1': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 18], 'unmatchedList2': [0, 2], 'identical': [[11, 1], [17, 3]], 'opposite': []}",0.09523809523809523,11
Carbon Energy,"{'unmatchedList1': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 17, 18], 'unmatchedList2': [0, 2], 'identical': [[11, 1]], 'opposite': []}",0.047619047619047616,12
