Doc,Obls,Score,Rank
Phreesa,"{'unmatchedList1': [], 'unmatchedList2': [], 'identical': [[0, 0], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7], [8, 8], [9, 9], [10, 10], [11, 11], [12, 12], [13, 13], [14, 14], [15, 15], [16, 16], [17, 17], [18, 18], [19, 19], [20, 20], [21, 21], [22, 22], [23, 23]], 'opposite': []}",1.0
Rocket,"{'unmatchedList1': [], 'unmatchedList2': [], 'identical': [[0, 0], [1, 0], [2, 1], [3, 2], [4, 3], [5, 4], [6, 5], [7, 6], [8, 7], [9, 8], [10, 9], [11, 8], [12, 9], [13, 8], [14, 9], [15, 10], [16, 11], [17, 12], [18, 13], [19, 12], [20, 13], [21, 12], [22, 13]], 'opposite': []}",1.0,1
United Surgical Partners,"{'unmatchedList1': [2], 'unmatchedList2': [], 'identical': [[0, 1], [1, 0], [3, 2], [4, 2], [5, 2], [6, 3], [7, 5], [8, 4], [9, 7], [10, 6], [11, 7], [12, 6], [13, 7], [14, 6], [15, 9], [16, 8], [17, 11], [18, 10], [19, 11], [20, 10], [21, 11], [22, 10]], 'opposite': []}",0.9565217391304348,2
Ironwood,"{'unmatchedList1': [2], 'unmatchedList2': [1], 'identical': [[0, 0], [1, 0], [3, 2], [4, 2], [5, 2], [6, 3], [7, 4], [8, 4], [9, 4], [10, 4], [11, 4], [12, 4], [13, 4], [14, 4], [15, 5], [16, 5], [17, 5], [18, 5], [19, 5], [20, 5], [21, 5], [22, 5]], 'opposite': []}",0.9166666666666666,3
Chiasma,"{'unmatchedList1': [], 'unmatchedList2': [11, 16, 24, 28], 'identical': [[0, 0], [1, 0], [2, 1], [3, 2], [4, 3], [5, 4], [6, 5], [7, 6], [8, 7], [9, 8], [10, 13], [11, 9], [11, 10], [12, 14], [12, 15], [13, 12], [14, 18], [15, 19], [16, 20], [17, 21], [18, 26], [19, 22], [20, 27], [21, 23], [22, 25], [23, 29]], 'opposite': []}",0.8666666666666667,4
Two Contracts,"{'unmatchedList1': [11, 12], 'unmatchedList2': [18, 19, 20, 21, 30, 31, 32, 33], 'identical': [[0, 0], [1, 1], [2, 2], [2, 3], [3, 4], [3, 5], [4, 6], [4, 7], [5, 8], [5, 9], [6, 10], [6, 11], [7, 13], [8, 12], [9, 15], [10, 14], [11, 17], [12, 16], [13, 23], [14, 22], [15, 25], [16, 24], [17, 27], [18, 26], [19, 29], [20, 28], [21, 35], [22, 34]], 'opposite': []}",0.7368421052631579,5
Alibero,"{'unmatchedList1': [3, 4, 5, 6], 'unmatchedList2': [5, 6, 8, 15, 16, 17, 18, 26, 27, 28, 29], 'identical': [[0, 0], [1, 0], [2, 1], [3, 2], [4, 3], [5, 4], [6, 7], [8, 9], [7, 10], [10, 11], [9, 12], [12, 13], [11, 14], [14, 19], [13, 20], [16, 21], [15, 22], [19, 25], [18, 23], [17, 24], [21, 31], [20, 32], [23, 33], [22, 30]], 'opposite': []}",0.6153846153846154,6
Abiomed,"{'unmatchedList1': [2, 11, 12, 17, 18, 19, 20, 21, 22, 23], 'unmatchedList2': [1, 2, 12, 13, 14, 17, 18, 19], 'identical': [[0, 0], [1, 0], [3, 3], [4, 4], [5, 5], [6, 6], [7, 8], [8, 7], [9, 16], [10, 11], [13, 20], [14, 15], [15, 10], [16, 9]], 'opposite': []}",0.4375,7
Rezolute,"{'unmatchedList1': [2, 3, 4, 5, 6, 11, 12], 'unmatchedList2': [2, 3, 4, 5, 6, 7, 8, 9, 13, 14, 15, 18, 19, 20, 27, 28, 31, 32], 'identical': [[0, 0], [1, 1], [7, 11], [8, 10], [9, 17], [10, 12], [13, 22], [14, 16], [15, 23], [16, 24], [17, 29], [18, 25], [21, 34], [22, 33], [19, 30], [20, 26]], 'opposite': []}",0.3902439024390244,8
Verastem,"{'unmatchedList1': [2, 3, 4, 5, 6, 11, 12, 19, 20], 'unmatchedList2': [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 16, 17, 18, 19, 20, 21, 28, 29, 30, 31, 32, 33], 'identical': [[0, 0], [1, 1], [7, 12], [8, 13], [9, 14], [10, 15], [13, 22], [14, 23], [15, 24], [16, 25], [17, 26], [18, 27], [21, 34], [22, 35]], 'opposite': []}",0.3111111111111111,9
Phio Pharm,"{'unmatchedList1': [2, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23], 'unmatchedList2': [2, 3, 8, 9, 10], 'identical': [[0, 0], [1, 1], [3, 4], [4, 5], [5, 6], [6, 7]], 'opposite': []}",0.20689655172413793,10
