Doc,Obls,Score,Rank
Esports Management,"{'unmatchedList1': [], 'unmatchedList2': [], 'identical': [[0, 0], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7], [8, 8], [9, 9], [10, 10], [11, 11], [12, 12], [13, 13]], 'opposite': []}",1.0
3 from Total,"{'unmatchedList1': [12, 13], 'unmatchedList2': [], 'identical': [[0, 0], [1, 1], [2, 2], [3, 3], [4, 12], [4, 8], [4, 4], [5, 13], [5, 9], [5, 5], [6, 14], [6, 10], [6, 6], [7, 15], [7, 11], [7, 7], [8, 16], [9, 17], [10, 18], [11, 19]], 'opposite': []}",0.9090909090909091,1
5E Advanced,"{'unmatchedList1': [], 'unmatchedList2': [14, 15, 16, 17, 18, 19, 20, 21], 'identical': [[0, 0], [1, 0], [2, 0], [3, 0], [4, 1], [4, 2], [4, 3], [4, 4], [4, 5], [4, 6], [4, 7], [5, 1], [5, 2], [5, 3], [5, 4], [5, 5], [5, 6], [5, 7], [6, 1], [6, 2], [6, 3], [6, 4], [6, 5], [6, 6], [6, 7], [7, 1], [7, 2], [7, 3], [7, 4], [7, 5], [7, 6], [7, 7], [8, 8], [9, 9], [10, 10], [11, 11], [12, 12], [13, 13]], 'opposite': []}",0.8260869565217391,2
Veru,"{'unmatchedList1': [], 'unmatchedList2': [3, 19, 20, 21, 22, 23, 24, 25, 26, 27], 'identical': [[0, 0], [1, 1], [2, 2], [3, 4], [4, 5], [4, 6], [4, 7], [4, 8], [4, 9], [4, 10], [4, 11], [4, 12], [5, 5], [5, 6], [5, 7], [5, 8], [5, 9], [5, 10], [5, 11], [5, 12], [6, 5], [6, 6], [6, 7], [6, 8], [6, 9], [6, 10], [6, 11], [6, 12], [7, 5], [7, 6], [7, 7], [7, 8], [7, 9], [7, 10], [7, 11], [7, 12], [8, 13], [9, 14], [10, 15], [11, 16], [12, 17], [13, 18]], 'opposite': []}",0.8076923076923077,3
Ecoark,"{'unmatchedList1': [12, 13], 'unmatchedList2': [2], 'identical': [[0, 0], [1, 0], [2, 0], [3, 0], [4, 1], [5, 1], [6, 1], [7, 1], [8, 3], [9, 4], [10, 5], [11, 6]], 'opposite': []}",0.8,4
Clearwater Analytics,"{'unmatchedList1': [14], 'unmatchedList2': [1, 2, 3, 17, 18, 19, 21, 23, 25, 27, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39], 'identical': [[0, 0], [1, 0], [2, 0], [3, 0], [4, 4], [4, 5], [4, 6], [4, 7], [4, 8], [4, 9], [4, 10], [4, 11], [4, 12], [4, 13], [4, 14], [4, 15], [4, 16], [5, 4], [5, 5], [5, 6], [5, 7], [5, 8], [5, 9], [5, 10], [5, 11], [5, 12], [5, 13], [5, 14], [5, 15], [5, 16], [6, 4], [6, 5], [6, 6], [6, 7], [6, 8], [6, 9], [6, 10], [6, 11], [6, 12], [6, 13], [6, 14], [6, 15], [6, 16], [7, 4], [7, 5], [7, 6], [7, 7], [7, 8], [7, 9], [7, 10], [7, 11], [7, 12], [7, 13], [7, 14], [7, 15], [7, 16], [8, 20], [9, 22], [10, 24], [11, 26], [12, 28], [13, 29]], 'opposite': []}",0.7469879518072289,5
Organicell,"{'unmatchedList1': [], 'unmatchedList2': [1, 3, 5, 7, 9, 11, 13, 15, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31], 'identical': [[0, 0], [1, 0], [2, 0], [3, 0], [4, 2], [4, 4], [4, 6], [4, 8], [4, 10], [4, 12], [4, 14], [5, 2], [5, 4], [5, 6], [5, 8], [5, 10], [5, 12], [5, 14], [6, 2], [6, 4], [6, 6], [6, 8], [6, 10], [6, 12], [6, 14], [7, 2], [7, 4], [7, 6], [7, 8], [7, 10], [7, 12], [7, 14], [8, 16], [9, 17], [10, 18], [11, 19], [12, 20], [13, 21]], 'opposite': []}",0.6785714285714286,6
Union Bankshares,"{'unmatchedList1': [10, 11, 12, 13], 'unmatchedList2': [3, 4, 5, 6, 7], 'identical': [[0, 0], [1, 0], [2, 0], [3, 0], [4, 0], [5, 0], [6, 0], [7, 0], [8, 1], [9, 2]], 'opposite': []}",0.5263157894736842,7
SolarWindow,"{'unmatchedList1': [], 'unmatchedList2': [1, 2, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 31, 32, 33, 34], 'identical': [[0, 0], [1, 0], [2, 0], [3, 0], [4, 0], [5, 0], [6, 0], [7, 0], [8, 3], [8, 25], [9, 4], [9, 26], [10, 5], [10, 27], [11, 6], [11, 28], [12, 7], [12, 29], [13, 8], [13, 30]], 'opposite': []}",0.47619047619047616,8
Total System Services,"{'unmatchedList1': [4, 5, 6, 7, 12, 13], 'unmatchedList2': [4, 5, 6], 'identical': [[0, 0], [1, 1], [2, 2], [3, 3], [8, 7], [9, 8], [10, 9], [11, 10]], 'opposite': []}",0.47058823529411764,9
CTI Industries,"{'unmatchedList1': [], 'unmatchedList2': [0, 1, 2, 3, 4, 5, 6, 7, 10, 11, 13, 15, 16, 17, 24, 25, 26, 27, 28, 29, 30], 'identical': [[0, 9], [1, 9], [2, 9], [3, 8], [4, 12], [4, 14], [5, 12], [5, 14], [6, 12], [6, 14], [7, 12], [7, 14], [8, 18], [9, 19], [10, 20], [11, 21], [12, 22], [13, 23]], 'opposite': []}",0.46153846153846156,10
Vapotherm,"{'unmatchedList1': [5, 6, 7, 12], 'unmatchedList2': [4, 5, 6, 7, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 29, 30], 'identical': [[0, 0], [1, 1], [2, 2], [3, 3], [4, 8], [5, 9], [6, 10], [7, 11], [8, 24], [9, 25], [10, 26], [11, 27], [12, 25], [13, 28]], 'opposite': []}",0.3888888888888889,11
Blue Ridge,"{'unmatchedList1': [0, 1, 2, 3, 4, 5, 6, 7], 'unmatchedList2': [0, 1], 'identical': [[8, 2], [9, 3], [10, 4], [11, 5], [12, 6], [13, 7]], 'opposite': []}",0.375,12
