Doc,Obls,Score,Rank
The RealReal,"{'unmatchedList1': [], 'unmatchedList2': [], 'identical': [[0, 0], [1, 1]], 'opposite': []}",1.0
Dynatronics,"{'unmatchedList1': [], 'unmatchedList2': [], 'identical': [[0, 0], [1, 1]], 'opposite': []}",1.0,1
iGambit,"{'unmatchedList1': [], 'unmatchedList2': [], 'identical': [[0, 0], [1, 1]], 'opposite': []}",1.0,1
Osiris,"{'unmatchedList1': [], 'unmatchedList2': [], 'identical': [[0, 0], [1, 1]], 'opposite': []}",1.0,1
Hoth Therapeautics,"{'unmatchedList1': [], 'unmatchedList2': [], 'identical': [[0, 0], [1, 1]], 'opposite': []}",1.0,1
5 from C,"{'unmatchedList1': [1], 'unmatchedList2': [4], 'identical': [[0, 0], [0, 1], [0, 2], [0, 3]], 'opposite': []}",0.6666666666666666,2
IQVIA,"{'unmatchedList1': [1], 'unmatchedList2': [4], 'identical': [[0, 0], [0, 1], [0, 2], [0, 3]], 'opposite': []}",0.6666666666666666,2
Medizone,"{'unmatchedList1': [1], 'unmatchedList2': [], 'identical': [[0, 0]], 'opposite': []}",0.5,3
Seventy Seven Energy,"{'unmatchedList1': [], 'unmatchedList2': [2, 3], 'identical': [[0, 0], [1, 1]], 'opposite': []}",0.5,3
Singing Machine,"{'unmatchedList1': [], 'unmatchedList2': [2, 3, 4, 5], 'identical': [[0, 0], [1, 1]], 'opposite': []}",0.3333333333333333,4
OncBioMune,"{'unmatchedList1': [0], 'unmatchedList2': [0, 1], 'identical': [[1, 2]], 'opposite': []}",0.25,5
Quantum Materials,"{'unmatchedList1': [1], 'unmatchedList2': [2, 3, 4, 5], 'identical': [[0, 0]], 'opposite': [[0, 1]]}",0.125,6
Bakhu Holdings,"{'unmatchedList1': [0, 1], 'unmatchedList2': [0, 1, 2, 3, 4], 'identical': [], 'opposite': []}",0.0,7
