Doc,Obls,Score,Rank
3 from QuickLogic,"{'unmatchedList1': [], 'unmatchedList2': [], 'identical': [[0, 0], [1, 1], [2, 2], [3, 3]], 'opposite': []}",1.0
Ari Network,"{'unmatchedList1': [], 'unmatchedList2': [], 'identical': [[0, 0], [1, 1], [2, 1], [3, 2]], 'opposite': []}",1.0,1
Netgear,"{'unmatchedList1': [], 'unmatchedList2': [], 'identical': [[0, 0], [1, 1], [2, 2], [3, 3]], 'opposite': []}",1.0,1
3 from Arlo,"{'unmatchedList1': [], 'unmatchedList2': [], 'identical': [[0, 0], [1, 1], [2, 1], [3, 2]], 'opposite': []}",1.0,1
Alector,"{'unmatchedList1': [], 'unmatchedList2': [3, 4], 'identical': [[0, 0], [1, 1], [2, 1], [3, 2]], 'opposite': []}",0.6666666666666666,2
Clovis Oncology,"{'unmatchedList1': [1, 2], 'unmatchedList2': [1], 'identical': [[0, 0], [3, 2]], 'opposite': []}",0.4,3
Lantronix,"{'unmatchedList1': [1, 2], 'unmatchedList2': [1], 'identical': [[0, 0], [3, 2]], 'opposite': []}",0.4,3
Dolby,"{'unmatchedList1': [1, 2], 'unmatchedList2': [1], 'identical': [[0, 0], [3, 2]], 'opposite': []}",0.4,3
Arena,"{'unmatchedList1': [1, 2], 'unmatchedList2': [1, 3], 'identical': [[0, 0], [3, 2]], 'opposite': []}",0.3333333333333333,4
2 from 2,"{'unmatchedList1': [1, 2], 'unmatchedList2': [1, 2], 'identical': [[0, 0], [3, 3]], 'opposite': []}",0.3333333333333333,4
Cytokinetics,"{'unmatchedList1': [1, 2], 'unmatchedList2': [1, 3], 'identical': [[0, 0], [3, 2]], 'opposite': []}",0.3333333333333333,4
