Doc,Obls,Score,Rank
2 from Sanchez,"{'unmatchedList1': [], 'unmatchedList2': [], 'identical': [[0, 0], [1, 1], [2, 2], [3, 3], [4, 4], [5, 5], [6, 6], [7, 7], [8, 8], [9, 9], [10, 10], [11, 11], [12, 12], [13, 13], [14, 14], [15, 15], [16, 16], [17, 17], [18, 18], [19, 19], [20, 20], [21, 21], [22, 22]], 'opposite': []}",1.0
Entellus,"{'unmatchedList1': [0, 1], 'unmatchedList2': [0, 1, 2], 'identical': [[2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [9, 9], [10, 11], [11, 12], [12, 13], [13, 14], [14, 15], [15, 16], [15, 17], [16, 19], [17, 20], [18, 21], [19, 22], [20, 23], [21, 24], [22, 25], [22, 26]], 'opposite': []}",0.8275862068965517,1
Gulfport,"{'unmatchedList1': [], 'unmatchedList2': [1, 2, 6, 7, 8], 'identical': [[0, 0], [1, 0], [2, 3], [3, 3], [4, 3], [5, 3], [6, 3], [7, 3], [8, 3], [9, 4], [10, 4], [11, 4], [12, 4], [13, 4], [14, 4], [15, 4], [16, 5], [17, 5], [18, 5], [19, 5], [20, 5], [21, 5], [22, 5]], 'opposite': []}",0.8214285714285714,2
Inseego,"{'unmatchedList1': [0, 1], 'unmatchedList2': [0, 1, 2, 3, 4], 'identical': [[2, 5], [3, 6], [4, 7], [5, 8], [6, 9], [7, 10], [8, 11], [9, 12], [10, 13], [11, 14], [12, 15], [13, 16], [14, 17], [15, 18], [16, 19], [17, 20], [18, 21], [19, 22], [20, 23], [21, 24], [22, 25]], 'opposite': []}",0.75,3
Earthstone,"{'unmatchedList1': [0, 1], 'unmatchedList2': [0, 1, 2, 3, 4], 'identical': [[2, 5], [3, 6], [4, 7], [5, 8], [6, 9], [7, 10], [8, 11], [9, 12], [10, 13], [11, 14], [12, 15], [13, 16], [14, 17], [15, 18], [16, 19], [17, 20], [18, 21], [19, 22], [20, 23], [21, 24], [22, 25]], 'opposite': []}",0.75,3
Gi Dynamics,"{'unmatchedList1': [0, 1], 'unmatchedList2': [0, 1, 2, 24, 25, 26], 'identical': [[2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 12], [12, 13], [13, 14], [14, 15], [15, 16], [16, 17], [17, 18], [18, 19], [19, 20], [20, 21], [21, 22], [22, 23]], 'opposite': []}",0.7241379310344828,4
Cytodin,"{'unmatchedList1': [], 'unmatchedList2': [0, 3, 4, 26, 27, 28, 29, 30, 31, 32], 'identical': [[0, 2], [1, 1], [2, 5], [3, 6], [4, 7], [5, 8], [6, 9], [7, 10], [8, 11], [9, 12], [10, 13], [11, 14], [12, 15], [13, 16], [14, 17], [15, 18], [16, 19], [17, 20], [18, 21], [19, 22], [20, 23], [21, 24], [22, 25]], 'opposite': []}",0.696969696969697,5
Kinmed,"{'unmatchedList1': [0, 1], 'unmatchedList2': [0, 1, 2, 3, 4, 27, 28, 29, 30, 31], 'identical': [[2, 5], [3, 8], [4, 11], [5, 14], [6, 17], [7, 20], [8, 23], [9, 26], [10, 6], [11, 9], [12, 12], [13, 15], [14, 18], [15, 21], [16, 24], [17, 7], [18, 10], [19, 13], [20, 16], [21, 19], [22, 22], [23, 25]], 'opposite': []}",0.6470588235294118,6
Frontier,"{'unmatchedList1': [0, 1], 'unmatchedList2': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9], 'identical': [[2, 10], [3, 11], [4, 12], [5, 13], [6, 14], [7, 15], [8, 16], [9, 17], [10, 18], [11, 19], [12, 20], [13, 21], [14, 22], [15, 23], [16, 24], [17, 25], [18, 26], [19, 27], [20, 28], [21, 29], [22, 30]], 'opposite': []}",0.6363636363636364,7
Mammoth,"{'unmatchedList1': [1, 8, 15, 22], 'unmatchedList2': [1, 2, 9, 10, 17, 18, 25, 26], 'identical': [[0, 0], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [9, 11], [10, 12], [11, 13], [12, 14], [13, 15], [14, 16], [16, 19], [17, 20], [18, 21], [19, 22], [20, 23], [21, 24]], 'opposite': []}",0.6129032258064516,8
Opgen,"{'unmatchedList1': [0, 1, 3, 10, 17], 'unmatchedList2': [0, 1, 2, 6, 7, 8, 24, 25, 26, 27, 28], 'identical': [[2, 3], [9, 4], [16, 5], [4, 9], [11, 10], [18, 11], [5, 12], [12, 13], [19, 14], [6, 15], [13, 16], [20, 17], [7, 18], [14, 19], [21, 20], [8, 21], [15, 22], [22, 23]], 'opposite': []}",0.5294117647058824,9
Angel Pond,"{'unmatchedList1': [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22], 'unmatchedList2': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 13, 14], 'identical': [[0, 11], [0, 12], [1, 11], [1, 12]], 'opposite': []}",0.10526315789473684,10
TTM,"{'unmatchedList1': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22], 'unmatchedList2': [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14], 'identical': [], 'opposite': []}",0.0,11
