Clause,Value
assignment,0.0
assignment,1.0
assignment,1.0
assignment,5.0
assignment,4.0
assignment,6.0
assignment,0.0
assignment,1.0
assignment,0.0
assignment,5.0
confidentiality,6.0
confidentiality,3.0
confidentiality,2.0
confidentiality,5.0
confidentiality,3.0
confidentiality,4.0
confidentiality,4.0
confidentiality,5.0
confidentiality,3.0
confidentiality,4.0
confidentiality,5.0
force-majeure,0.0
force-majeure,0.0
force-majeure,1.0
force-majeure,2.0
force-majeure,1.0
force-majeure,2.0
force-majeure,0.0
force-majeure,0.0
force-majeure,0.0
force-majeure,3.0
indemnity,4.0
indemnity,1.0
indemnity,2.0
indemnity,4.0
indemnity,5.0
indemnity,2.0
indemnity,4.0
indemnity,4.0
indemnity,2.0
indemnity,3.0
publicity,5.0
publicity,2.0
publicity,4.0
publicity,1.0
publicity,3.0
publicity,2.0
publicity,2.0
publicity,2.0
publicity,0.0
publicity,3.0
publicity,5.0
publicity,3.0
duration,3.0
duration,2.0
duration,0.0
duration,10.0
duration,2.0
duration,6.0
duration,3.0
duration,9.0
duration,4.0
duration,4.0
duration,4.0
duration,6.0
non-disparagement,5.0
non-disparagement,5.0
non-disparagement,10.0
non-disparagement,6.0
non-disparagement,3.0
non-disparagement,6.0
non-disparagement,1.0
non-disparagement,3.0
non-disparagement,3.0
non-disparagement,2.0
non-disparagement,8.0
non-disparagement,2.0
non-compete,2.0
non-compete,7.0
non-compete,4.0
non-compete,2.0
non-compete,4.0
non-compete,0.0
non-compete,4.0
non-compete,3.0
non-compete,5.0
non-compete,3.0
notice,2.0
notice,3.0
notice,0.0
notice,0.0
notice,3.0
notice,1.0
notice,0.0
notice,0.0
notice,6.0
notice,0.0
notice,0.0
notice,2.0
termination,6.0
termination,0.0
termination,1.0
termination,1.0
termination,2.0
termination,1.0
termination,2.0
termination,2.0
termination,0.0
termination,0.0
