Clause,Value
assignment,1
assignment,4
assignment,3
assignment,2
assignment,1
assignment,0
assignment,4
assignment,1
assignment,2
assignment,3
confidentiality,5
confidentiality,6
confidentiality,1
confidentiality,7
confidentiality,10
confidentiality,1
confidentiality,0
confidentiality,3
confidentiality,2
confidentiality,6
confidentiality,0
force-majeure,0
force-majeure,2
force-majeure,1
force-majeure,2
force-majeure,1
force-majeure,2
force-majeure,1
force-majeure,2
force-majeure,3
force-majeure,1
indemnity,4
indemnity,0
indemnity,3
indemnity,1
indemnity,5
indemnity,0
indemnity,8
indemnity,3
indemnity,7
indemnity,2
publicity,1
publicity,0
publicity,3
publicity,0
publicity,1
publicity,0
publicity,4
publicity,2
publicity,4
publicity,10
publicity,9
publicity,2
duration,7
duration,4
duration,1
duration,2
duration,2
duration,5
duration,2
duration,0
duration,2
duration,3
duration,1
duration,7
non-disparagement,4
non-disparagement,5
non-disparagement,9
non-disparagement,1
non-disparagement,0
non-disparagement,3
non-disparagement,1
non-disparagement,2
non-disparagement,3
non-disparagement,3
non-disparagement,2
non-disparagement,3
non-compete,5
non-compete,0
non-compete,5
non-compete,0
non-compete,1
non-compete,5
non-compete,1
non-compete,1
non-compete,5
non-compete,3
notice,1
notice,3
notice,1
notice,1
notice,0
notice,1
notice,1
notice,0
notice,4
notice,2
notice,2
notice,2
termination,3
termination,0
termination,3
termination,9
termination,5
termination,1
termination,2
termination,1
termination,5
termination,1
