Clause,Value
assignment,0
assignment,1
assignment,5
assignment,2
assignment,3
assignment,3
assignment,8
assignment,2
assignment,2
assignment,3
confidentiality,6
confidentiality,2
confidentiality,2
confidentiality,9
confidentiality,9
confidentiality,2
confidentiality,1
confidentiality,4
confidentiality,1
confidentiality,4
confidentiality,1
force-majeure,1
force-majeure,3
force-majeure,1
force-majeure,1
force-majeure,1
force-majeure,1
force-majeure,3
force-majeure,2
force-majeure,3
force-majeure,1
indemnity,3
indemnity,0
indemnity,2
indemnity,1
indemnity,5
indemnity,2
indemnity,8
indemnity,4
indemnity,7
indemnity,1
publicity,3
publicity,3
publicity,3
publicity,0
publicity,1
publicity,1
publicity,4
publicity,2
publicity,5
publicity,5
publicity,7
publicity,2
duration,7
duration,3
duration,1
duration,4
duration,2
duration,5
duration,3
duration,1
duration,3
duration,4
duration,1
duration,6
non-disparagement,5
non-disparagement,4
non-disparagement,6
non-disparagement,2
non-disparagement,1
non-disparagement,3
non-disparagement,5
non-disparagement,0
non-disparagement,4
non-disparagement,3
non-disparagement,2
non-disparagement,3
non-compete,9
non-compete,0
non-compete,6
non-compete,2
non-compete,0
non-compete,2
non-compete,5
non-compete,0
non-compete,1
non-compete,1
notice,2
notice,2
notice,1
notice,0
notice,0
notice,1
notice,0
notice,2
notice,3
notice,0
notice,2
notice,1
termination,2
termination,0
termination,4
termination,7
termination,3
termination,3
termination,4
termination,1
termination,3
termination,1
