Clause,Value
assignment,4
assignment,3
assignment,1
assignment,5
assignment,2
assignment,1
assignment,0
assignment,2
assignment,0
assignment,3
confidentiality,0
confidentiality,2
confidentiality,3
confidentiality,0
confidentiality,0
confidentiality,1
confidentiality,0
confidentiality,1
confidentiality,4
confidentiality,2
confidentiality,3
force-majeure,0
force-majeure,1
force-majeure,3
force-majeure,3
force-majeure,4
force-majeure,3
force-majeure,3
force-majeure,3
force-majeure,3
force-majeure,0
indemnity,1
indemnity,0
indemnity,0
indemnity,0
indemnity,1
indemnity,1
indemnity,1
indemnity,1
indemnity,0
indemnity,1
publicity,2
publicity,5
publicity,3
publicity,1
publicity,3
publicity,2
publicity,4
publicity,2
publicity,3
publicity,1
publicity,1
publicity,0
duration,2
duration,1
duration,0
duration,8
duration,5
duration,6
duration,3
duration,7
duration,6
duration,5
duration,6
duration,2
non-disparagement,3
non-disparagement,6
non-disparagement,1
non-disparagement,2
non-disparagement,6
non-disparagement,8
non-disparagement,6
non-disparagement,2
non-disparagement,3
non-disparagement,7
non-disparagement,2
non-disparagement,0
non-compete,4
non-compete,2
non-compete,0
non-compete,1
non-compete,2
non-compete,4
non-compete,4
non-compete,1
non-compete,1
non-compete,1
notice,7
notice,2
notice,5
notice,0
notice,2
notice,6
notice,2
notice,4
notice,6
notice,5
notice,1
notice,4
termination,4
termination,0
termination,4
termination,3
termination,1
termination,1
termination,3
termination,0
termination,3
termination,0
