Doc,Clause
Phreesa,"Assignments. Neither the Executive nor the Company may make any assignment of this Agreement or any interest in it, by operation of law or otherwise, without the prior written consent of the other; provided, however, that the Company may assign its rights and obligations under this Agreement (including the Restrictive Covenants Agreement) without the Executive's consent to any affiliate or to any person or entity with whom the Company shall hereafter effect a reorganization, consolidate with, or merge into or to whom it transfers all or substantially all of its properties or assets. This Agreement shall inure to the benefit of and be binding upon the Executive and the Company, and each of the Executive's and the Company's respective successors, personal representatives and permitted assigns."
United Surgical Partners,"Assignments. Neither the Company nor the Executive may make any assignment of this Agreement or any interest herein, by operation of law or otherwise, without the prior written consent of the other; provided, however, that the Company may assign its rights and obligations under this Agreement without the consent of the Executive in the event that the Company shall hereafter effect a reorganization, consolidation or merger or in the event the Company transfers all or substantially all of its properties or assets. This Agreement shall inure to the benefit of and be binding upon the Company and the Executive, their respective successors, executors, administrators, heirs and permitted assigns."
Rocket,"Assignments. Neither you nor the Company may make any assignment of this Agreement or any interest in it, by operation of law or otherwise, without the prior written consent of the other; provided, however, that the Company may assign its rights and obligations under this Agreement (including the Restrictive Covenant Agreement) without your consent to any affiliate or to any person or entity with whom the Company shall hereafter effect a reorganization, consolidate with, or merge into or to whom it transfers all or substantially all of its properties or assets. This Agreement shall inure to the benefit of and be binding upon you and the Company, and each of your and its respective successors, executors, administrators, heirs and permitted assigns."
Chiasma,"Assignments. Neither you nor the Company may make any assignment of this Agreement or any interest in it, by operation of law or otherwise, without the prior written consent of the other; provided, however, that the Company may assign its rights and obligations under this Agreement (including the Restrictive Covenant Agreement) without your consent to any affiliate at any time, or to any person or entity with whom the Company shall hereafter effect a reorganization, consolidate with, or merge into or to whom it transfers all or substantially all of its properties or assets. This Agreement shall inure to the benefit of and be binding upon you and the Company, and each of your and its respective successors, executors, administrators, heirs and permitted assigns."
Ironwood,"Assignments. Neither the Company nor the Executive may make any assignment of this Agreement or any interest herein, by operation of law or otherwise, without the prior written consent of the other; provided, however, that (a) the Executive's economic rights hereunder will automatically be assigned by the Executive to his or her estate or beneficiaries upon the death of the Executive and (b) the Company will assign its rights and obligations under this Agreement without the consent of the Executive in the event that the Company is a party to a reorganization, consolidation, merger, or sale of all or substantially all of its stock, and (c) the Company will cause an acquirer of all or substantially all of its assets to assume this Agreement. This Agreement shall inure to the benefit of and be binding upon the Company and the Executive, and their respective successors, executors, administrators, heirs and permitted assigns."
Alibero,"Assignments. Neither the Company nor the Executive may make any assignment of this Agreement or any interest herein, by operation of law or otherwise, without the prior written consent of the other; provided, however, that (a) the Company may assign its rights and obligations under this Agreement without the consent of the Executive to one of its Affiliates, or in the event that the Company or Parent shall hereafter effect a reorganization with, consolidate with, or merge into, an Affiliate or any Person or transfer or have transferred all or substantially all of its properties, outstanding stock, or assets to an Affiliate or any Person and (b) in the event that all of the Company's rights and obligations under this Agreement are assigned pursuant to this Section 15, each reference to Company herein shall be deemed from and after such assignment instead to be a reference the assignee. This Agreement shall inure to the benefit of and be binding upon the Company and the Executive, and their respective successors, executors, administrators, heirs and permitted assigns."
Verastem,"Assignments. Neither the Executive nor the Company may make any assignment of this Agreement or any interest in it, by operation of law or otherwise, without the prior written consent of the other; provided, however, that the Company may assign its rights and obligations under this Agreement without the Executive's consent to one of its Affiliates or to any Person with whom the Company shall hereafter affect a reorganization, consolidate with, or merge into or to whom it transfers all or substantially all of its properties or assets. This Agreement shall inure to the benefit of and be binding upon the Executive and the Company, and each of our respective successors, executors, administrators, heirs and permitted assigns."
Abiomed,"Assignments. Neither the Company nor the Executive may make any assignment of this Agreement or any interest herein, by operation of law or otherwise, without the prior written consent of the other; provided, however, that (a) the Executive's economic rights hereunder may be assigned by the Executive to his or her estate or beneficiaries upon the death of the Executive and (b) the Company may assign its rights and obligations under this Agreement without the consent of the Executive in the event that the Company is a party to a reorganization, consolidation, merger, or sale of all or substantially all of its properties, stock, or assets. This Agreement shall inure to the benefit of and be binding upon the Company and the Executive, and their respective successors, executors, administrators, heirs and permitted assigns. "
Two Contracts,"Assignments. Neither the Company nor the Executive may make any assignment of this Agreement or any interest herein, by operation of law or otherwise, without the prior written consent of the other; provided, however, that the Company may assign its rights and obligations under this Agreement without the consent of the Executive to any affiliate or in the event that the Company shall after the Effective Date effect a reorganization, consolidate with or merge into, any entity or transfer all or substantially all of its properties or assets to any entity. This Agreement shall inure to the benefit of and be binding upon the Company and the Executive, their respective successors, executors, administrators, heirs and permitted assigns."
Rezolute,"Assignments. Neither the Company nor Executive may make any assignment of this Agreement or any interest herein, by operation of law or otherwise, without the prior written consent of the other; provided, however, that the Company may assign its rights and shall assign its obligations under this Agreement without the consent of Executive in the event that the Company shall hereafter effect a reorganization, or consolidate with or merge into any other Person, or transfer all or substantially all of its properties or assets to any other Person. This Agreement shall inure to the benefit of and be binding upon the Company and the Executive, and their respective successors, executors, administrators, heirs and permitted assigns."
Phio Pharm,"Assignments. Neither the Company nor the Executive may make any assignment of this Agreement or any interest herein, by operation of law or otherwise, without the prior written consent of the other; provided, however, that the Company may assign its rights and obligations under this Agreement without the consent of the Executive in the event that the Executive is transferred to a position with any of the Affiliates or in the event that the Company shall hereafter effect a reorganization, consolidate with, or merge into, any Person or transfer all or substantially all of its properties or assets to any Person. This Agreement shall inure to the benefit of and be binding upon the Company and the Executive, their respective successors, executors, administrators, heirs and permitted assigns"
