Doc,Clause
Adaptive Biotech 2,"Force Majeure. Neither party shall be held responsible or liable for delays in the performance of its obligations hereunder (other than Tenant's obligation to pay Rent) when caused by, related to, or arising out of acts of God, sinkholes or subsidence, strikes, lockouts, or other labor disputes, embargoes, quarantines, weather, national, regional, or local disasters, calamities, or catastrophes, inability to obtain labor or materials (or reasonable substitutes therefor) at reasonable costs or failure of, or inability to obtain, utilities necessary for performance, governmental restrictions, orders, limitations, regulations, or controls, national emergencies, delay in issuance or revocation of permits, enemy or hostile governmental action, terrorism, insurrection, riots, civil disturbance or commotion, fire or other casualty, and other causes or events beyond their reasonable control (""Force Majeure"")."
Enanta,"Force Majeure. Except for Tenant's obligation to timely pay Rent or either party's obligation to make any other payment due hereunder (which such obligation shall not under any circumstance be delayed or excused), neither Landlord nor Tenant shall be responsible or liable for , or in default on account of, delays in the performance of its obligations hereunder when such delay in performance is caused by, related to or arises out of acts of God; sinkholes or subsidence; strikes; labor stoppages; lockouts, or other labor disputes; embargoes; quarantines, declared states of emergency or public health emergencies, pandemics, epidemics, infectious disease; unusually severe weather; national, regional, or local disasters, calamities, or catastrophes; inability to obtain labor or materials (or reasonable substitutes therefor) at reasonable costs or failure of, or inability to obtain, utilities necessary for performance; governmental decrees, laws, actions, restrictions, orders, limitations, regulations, or controls; regional, state, local, or national emergencies; delay in inspection by federal, state or local inspectors, officials or other applicable Governmental Authorities; delay in issuance or revocation of permits, approvals, certificates of occupancy, or entitlements; enemy or hostile governmental action, terrorism, insurrection, riots, civil disturbance or commotion; fire or other casualty, and any other causes or events beyond the reasonable control of the obligated party (""Force Majeure""). "
Forma,"Force Majeure. Except for Tenant's obligation to timely pay Rent or any other payment due hereunder (which such obligation shall not under any circumstance be delayed or excused), neither Landlord nor Tenant shall be responsible or liable for delays in the performance of its obligations hereunder (including, without limitation, the obligation, if any, to give any notice pursuant to the Work Letter) when such delay in performance is caused by, related to or arises out of acts of God, sinkholes or subsidence, strikes, labor stoppages, lockouts, or other labor disputes, embargoes, quarantines, declared states of emergency or public health emergencies, pandemics, epidemics, infectious disease, weather, national, regional, or local disasters, calamities, or catastrophes, inability to obtain labor or materials (or reasonable substitutes therefor) at reasonable costs or failure of, or inability to obtain, utilities necessary for performance, governmental decrees, laws, actions, restrictions, orders, limitations, regulations, or controls, regional, state, or national emergencies, delay in inspection by federal, state or local inspectors, officials, or other applicable Governmental Authorities, delay in issuance or revocation of permits, approvals, certificates of occupancy, or entitlements, enemy or hostile governmental action, terrorism, insurrection, riots, civil disturbance or commotion, fire or other casualty, and any other causes or events beyond the reasonable control of the obligated party (""Force Majeure""). "
NextCure,"Force Majeure. Neither party shall be responsible or liable for delays in the performance of its obligations hereunder when caused by, related to, or arising out of acts of God, strikes, lockouts, or other labor disputes, embargoes, quarantines, weather, national, regional, or focal disasters, calamities, or catastrophes, inability to obtain labor or materials (or reasonable substitutes therefor) at reasonable costs (for purposes of this clause only, ""reasonable costs"" means costs that are not exorbitant or commercially excessive) or failure of, or inability to obtain, utilities necessary for performance, governmental restrictions, orders, limitations, regulations, or controls, national emergencies, delay in issuance or revocation of permits, enemy or hostile governmental action, terrorism, insurrection, riots, civil disturbance or commotion, fire or other casualty, and other causes or events beyond the reasonable control of Landlord or Tenant, as applicable (""Force Majeure""); provided, however, that in no event shall Force Majeure excuse Tenant or Landlord from performing any monetary obligation under this Lease"
Beam,"Force Majeure. Except for the payment of Rent and any other amounts payable under this Lease, neither Landlord nor Tenant shall be held responsible or liable for delays in the performance of its obligations hereunder when caused by, related to, or arising out of acts of God, sinkholes or subsidence, strikes, lockouts, or other labor disputes, embargoes, quarantines, extreme weather, national, regional, or local disasters, calamities, or catastrophes, inability to obtain labor or materials (or reasonable substitutes therefor) at reasonable costs or failure of, or inability to obtain, utilities necessary for performance, governmental restrictions, orders, limitations, regulations, or controls, national emergencies, local, regional or national epidemic or pandemic (including COVID-19), delay in issuance or revocation of permits, enemy or hostile governmental action, terrorism, insurrection, riots, civil disturbance or commotion, fire or other casualty, and other causes or events beyond their reasonable control (""Force Majeure""). Financial disability or hardship, regardless of the cause of the same, shall never constitute a Force Majeure event."
Adaptive Biotech,"Force Majeure. Except for the payment of Rent, neither Landlord nor Tenant shall be held responsible or liable for delays in the performance of its obligations hereunder when caused by, related to, or arising out of acts of God, sinkholes or subsidence, strikes, lockouts, or other labor disputes, embargoes, quarantines, weather, national, regional, or local disasters, calamities, or catastrophes, inability to obtain labor or materials (or reasonable substitutes therefor) at reasonable costs or failure of, Net Laboratory 1165 Eastlake/Adaptive - Page 26 or inability to obtain, utilities necessary for performance, governmental restrictions, orders, limitations, regulations, or controls, national emergencies, delay in issuance or revocation of permits, enemy or hostile governmental action, terrorism, insurrection, riots, civil disturbance or commotion, fire or other casualty, and other causes or events beyond their reasonable control (""Force Majeure"")."
Vaxcyte,"Force Majeure. Except for the payment of Rent and any other amounts payable under this Lease by Landlord or Tenant, neither Landlord nor Tenant shall be held responsible or liable for delays in the performance of its obligations hereunder when caused by, related to, or arising out of acts of God, sinkholes or subsidence, strikes, lockouts, or other labor disputes, embargoes, quarantines, weather, national, regional, or local disasters, calamities, or catastrophes, inability to obtain labor or materials (or reasonable substitutes therefor) at reasonable costs or failure of, or inability to obtain, utilities necessary for performance, governmental restrictions, orders, limitations, regulations, or controls, national emergencies, local, regional or national epidemic or pandemic, delay in issuance or revocation of permits, enemy or hostile governmental action, terrorism, insurrection, riots, civil disturbance or commotion, fire or other casualty, and other causes or events beyond their reasonable control (""Force Majeure""). Financial disability or hardship shall in no event constitute a Force Majeure event. "
Genvec,"Force Majeure. Neither Landlord nor Tenant shall be responsible or liable for delays in the performance of its obligations hereunder when caused by, related to, or arising out of acts of God, strikes, lockouts, or other labor disputes, embargoes, quarantines, weather, national, regional, or local disasters, calamities, or catastrophes, inability to obtain labor or materials (or reasonable substitutes therefor) at reasonable costs or failure of, or inability to obtain, utilities necessary for performance, governmental restrictions, orders, limitations, regulations, or controls, national emergencies, delay in issuance or revocation of permits, enemy or hostile governmental action, terrorism, insurrection, riots, civil disturbance or commotion, fire or other casualty, and other causes or events beyond the reasonable control of Landlord (""Force Majeure""); provided, however, that in no event shall Force Majeure excuse Tenant or Landlord from performing any monetary obligation under this Lease. "
Biocardia,"Force Majeure. Landlord shall not be held responsible or liable for delays in the performance of its obligations hereunder when caused by, related to, or arising out of acts of God, strikes, lockouts, or other labor disputes, embargoes, quarantines, weather, national, regional, or local disasters, calamities, or catastrophes, inability to obtain labor or materials (or reasonable substitutes therefor) at reasonable costs or failure of, or inability to obtain, utilities necessary for performance, governmental restrictions, orders, limitations, regulations, or controls, national emergencies, delay in issuance or revocation of permits, enemy or hostile governmental action, terrorism, insurrection, riots, civil disturbance or commotion, fire or other casualty, and other causes or events beyond the reasonable control of Landlord (""Force Majeure"")."
Sensei,"Force Majeure. Landlord shall not responsible or liable for delays in the performance of its obligations hereunder when caused by, related to, or arising out of acts of God, strikes, lockouts, or other labor disputes, embargoes, quarantines, weather, national, regional, or local disasters, calamities, or catastrophes, inability to obtain labor or materials (or reasonable substitutes therefor) at reasonable costs or failure of, or inability to obtain, utilities necessary for performance, governmental restrictions, orders, limitations, regulations, or controls, national emergencies, delay in issuance or revocation of permits, enemy or hostile governmental action, terrorism, insurrection, riots, civil disturbance or commotion, fire or other casualty, and other causes or events beyond the reasonable control of Landlord (""Force Majeure"")."
Revolution,"Force Majeure. Landlord shall not be responsible or liable for delays in the performance of its obligations hereunder when caused by, related to, or arising out of acts of God, strikes, lockouts, or other labor disputes, embargoes, quarantines, weather, national, regional, or local disasters, calamities, or catastrophes, inability to obtain labor or materials (or reasonable substitutes therefor) at reasonable costs or failure of, or inability to obtain, utilities necessary for performance, governmental restrictions, orders, limitations, regulations, or controls, national emergencies, delay in issuance or revocation of permits, enemy or hostile governmental action, terrorism, insurrection, riots, civil disturbance or commotion, fire or other casualty, and other causes or events beyond the reasonable control of Landlord (""Force Majeure"")."
