Doc,Clause
Immunomedics 2,"Non-Competition. During Executive's employment with the Company or any Company subsidiary or affiliate and for a period of twelve (12) months after termination of Executive's employment (for any reason whatsoever, whether voluntary or involuntary) (the ""Non-Competition Period""), Executive shall not, without the prior written approval of the Board, whether alone or as a partner, officer, director, consultant, agent, employee, representative or stockholder of any company or other commercial enterprise, or in any other capacity, directly or indirectly engage in any business or other activity anywhere in the world that competes with the Company in the field of cancer drugs, biopharmaceuticals, therapeutics or treatments, including but not limited to the research, development, testing, manufacture, sale, marketing, or licensing of the same (the ""Business""). The foregoing prohibition shall not prevent Executive's employment or engagement after termination of Executive's employment by any company or business organization, as long as the activities of any such employment or engagement, in any capacity, do not involve work on matters related to the Business of the Company during Executive's employment with the Company. Executive shall be permitted to own securities of a public company not in excess of five percent (5%) of any class of such securities and to own stock, partnership interests or other securities of any entity not in excess of five percent (5%) of any class of such securities and such ownership shall not be considered to be in competition with the Company."
Immunomedics,"Non-Competition. While Executive is employed at the Employer and for a period of two (2) years after termination of Executive's employment (for any reason whatsoever, whether voluntary or involuntarily), Executive will not, without the prior written approval of the Board, whether alone or as a partner, officer, director, consultant, agent, employee or stockholder of any company or other commercial enterprise, directly or indirectly engage in any business or other activity in the United States or Canada which competes with the Employer in the field of therapeutic antibodies for cancer. The foregoing prohibition shall not prevent Executive's employment or engagement after termination of Executive's employment by any company or business organization, as long as the activities of any such employment or engagement, in any capacity, do not involve work on matters related to the products being developed, manufactured, or marketed by the Employer during Executive's employment with the Employer. Executive shall be permitted to own securities of a public company not in excess of five percent of any class of such securities and to own stock, partnership interests or other securities of any entity not in excess of five percent of any class of such securities and such ownership shall not be considered to be in competition with the Employer."
1 Deerfield,"Non-Competition. During Executive's employment with the Company or any Company subsidiary or controlled affiliate and for a period of twenty-four (24) months after termination of Executive's employment (for any reason whatsoever, whether voluntary or involuntary) (the ""Non-Competition Period""), Executive shall not, without the prior written approval of the Board, whether alone or as a partner, officer, director, consultant, agent, employee, representative or stockholder of any company, entity, or other commercial enterprise, or in any other capacity, directly or indirectly engage in the business of providing (including, without limitation, as a provider or as a management services organization) professional medical services (including, without limitation, diagnostic, therapeutic and ancillary services, nursing services, outpatient healthcare services and pharmacy services) in a primary care clinic setting (including, without limitation, the practice of primary care medicine in a multidisciplinary clinic) (the ""Business""). The foregoing prohibition shall not prevent Executive's employment or engagement after termination of Executive's employment by any company or business organization, as long as the activities of any such employment or engagement, in any capacity, do not involve work on matters related to the Business of the Company during Executive's employment with the Company. Executive shall be permitted to own securities of a public company not in excess of five percent (5%) of any class of such securities and to own stock, partnership interests or other securities of any entity not in excess of five percent (5%) of any class of such securities and such ownership shall not be considered to be in competition with the Company."
Immunomedics 3,"Non-Competition. During Executive's employment with the Company and for a period of twelve (12) months after termination of Executive's employment (for any reason whatsoever, whether voluntary or involuntary) (the ""Non-Competition Period""), Executive shall not, without the prior written approval of the Board, whether alone or as a partner, officer, director, consultant, agent, employee, representative or stockholder of any company or other commercial enterprise, or in any other capacity, directly or indirectly engage in any business or other activity anywhere in the world (i) that directly or indirectly relates to the research, development, testing, manufacture, sale, marketing, or licensing of therapeutic agents, antibody-drug conjugates, or other biopharmaceutical products (""Therapeutic Agents"") that would operate via the same target or antigen or would address the same primary patient population(s) as Therapeutic Agents that Executive is engaged in researching and developing (the ""Business""). For the avoidance of doubt, the Company and Executive agree and acknowledge that the restricted Business shall include only the following Targets: Trop-2, CEACAM5, and HLA DR. The foregoing prohibition shall not prevent Executive's employment or engagement after termination of Executive's employment by any company or business organization, as long as the activities of any such employment or engagement, in any capacity, do not involve work on matters related to the Business as defined above. Executive shall be permitted to own securities of a public company not in excess of five percent (5%) of any class of such securities and to own stock, partnership interests or other securities of any entity not in excess of five percent (5%) of any class of such securities and such ownership shall not be considered to be in competition with the Company."
Zeta Global,"Non-Competition. During the Employment Period and for a period of twelve (12) months after termination of Executive's employment (for any reason whatsoever, whether voluntary or involuntary) (the ""Non-Competition Period""), Executive will not, without prior disclosure to the Board, whether alone or as a partner, officer, director, consultant, agent, employee or stockholder of any company or other commercial enterprise, engage in any business or other activity anywhere in the world that competes with the Company in the business of building and offering digital marketing data management technology to large business to consumer enterprises (the ""Business""). The foregoing prohibition shall not prevent (i) Executive's employment or engagement after termination of Executive's employment by any company or business organization, as long as the activities of any such employment or engagement, in any capacity, do not involve work on matters related to the products being developed, manufactured, or marketed by the Company during Executive's employment with the Company, or (ii) Executive from engaging in Permitted Outside Activities. For the avoidance of doubt, the foregoing shall not be construed as preventing Executive from owning securities of a public company not in excess of five percent (5%) of any class of such securities or from owning stock, partnership interests or other securities of any entity not in excess of five percent (5%) of any class of such securities and such ownership shall not be considered to be in competition with the Company."
Tilray,"Non-Competition. During Executive's employment with the Company or any Company subsidiary or affiliate and for a period of twelve (12) months after termination of Executive's employment (for any reason whatsoever, whether voluntary or involuntary) (the ""Non-Competition Period''), Executive shall not, without the prior written approval of the Board, whether alone or as a partner, officer, director, consultant, agent, employee, representative or stockholder of any company, entity, or other commercial enterprise, or in any other capacity, directly or indirectly engage in any research, development, testing, manufacture, sale, marketing, or licensing related to any products or services developed or provided by the Company in the United States and Canada (the ""Business''). The foregoing prohibition shall not prevent Executive's employment or engagement after termination of Executive's employment by any company or business organization, as long as the activities of any such 14 employment or engagement, in any capacity, do not involve work on matters related to the Business of the Company during Executive's employment with the Company. Executive shall be permitted to own securities of a public company not in excess of two percent (2%) of any class of such securities and to own stock, partnership interests or other securities of any entity not in excess of two percent (2%) of any class of such securities and such ownership shall not be considered to be in competition with the Company."
Tilray 2,"Non-Competition. During Executive's employment with the Company, Company or any Company subsidiary or affiliate and for a period of twelve (12) months after termination of Executive's employment (for any reason whatsoever, whether voluntary or involuntary) (the ""Non-Competition Period''), Executive shall not, without the prior written approval of the Board, whether alone or as a partner, officer, director, consultant, agent, employee, representative or stockholder of any company, entity, or other commercial enterprise, or in any other capacity, directly or indirectly engage in any research, development, testing, manufacture, sale, marketing, or licensing related to any products or services developed or provided by the Company in the United States and Canada (the ""Business''). The Executive Employment Agreement (Canada) foregoing prohibition shall not prevent Executive's employment or engagement after termination of Executive's employment by any company or business organization, as long as the activities of any such employment or engagement, in any capacity, do not involve work on matters related to the Business of the Company during Executive's employment with the Company. Executive shall be permitted to own securities of a public company not in excess of two percent (2%) of any class of such securities and to own stock, partnership interests or other securities of any entity not in excess of two percent (2%) of any class of such securities and such ownership shall not be considered to be in competition with the Company."
2 from Tilray,"Non-Competition. During Executive's employment with the Company or any Company subsidiary or affiliate and for a period of twelve (12) months after termination of Executive's employment (for any reason whatsoever, whether voluntary or involuntary) (the ""Non-Competition Period''), Executive shall not, without the prior written approval of the Board, whether alone or as a partner, officer, director, consultant, agent, employee, representative or stockholder of any company, entity, or other commercial enterprise, or in any other capacity, directly or indirectly engage in any research, development, testing, manufacture, sale, marketing, or licensing related to any products or services developed or provided by the Company in the United States and Canada (the ""Business''). The foregoing prohibition shall not prevent Executive's employment or engagement after termination of Executive's employment by any company or business organization, as long as the activities of any such employment or engagement, in any capacity, do not involve work on matters related to the Business of the Company during Executive's employment with the Company. Executive shall be permitted to own securities of a public company not in excess of two percent (2%) of any class of such securities and to own stock, partnership interests or other securities of any entity not in excess of two percent (2%) of any class of such securities and such ownership shall not be considered to be in competition with the Company."
Auxillium,"Non-Competition. While Executive is employed at the Employer and for a period of one (1) year after termination of Executive's employment (for any reason whatsoever, whether voluntary or involuntarily), Executive shall not, without the prior written approval of the Board, whether alone or as a partner, officer, director, consultant, agent, employee or stockholder of any company or other commercial enterprise, directly or indirectly engage in any business or other activity in any geographic place where the Company and or any of its partners or affiliates are selling Company products which competes with the Employer in the sale of the pharmaceutical or other products being manufactured, marketed, distributed or developed by the Employer while Executive is employed by Employer and at the time of termination of such employment. The foregoing prohibition shall not prevent Executive's employment or engagement after termination of Executive's employment by any company or business organization, as long as the activities of any such employment or engagement, in any capacity, do not involve work on matters related to the products being developed, manufactured, or marketed by the Employer at the time of termination of Executive's employment. Executive shall be permitted to own securities of a public company not in excess of five percent of any class of such securities and to own stock, partnership interests or other securities of any entity not in excess of five percent of any class of such securities and such ownership shall not be considered to be in competition with the Employer. 11 7. Non-Solicitation. (a) While Executive is employed at the Employer and for a period of one (1) year after termination of such employment (for any reason, whether voluntary or involuntarily), Executive agrees that Executive shall not: (i) directly or indirectly solicit, entice or induce any customer to become a customer of any other person, firm or corporation with respect to products then sold or under development by the Employer or to cease doing business with the Employer, and Executive shall not approach any such person, firm or corporation for such purpose or authorize or knowingly approve the taking of such actions by any other person; (ii) directly or indirectly solicit or recruit any employee of the Employer to work for a third party other than the Employer (excluding newspaper or similar print or electronic solicitations of general circulation); or (b) This Section 7 does not apply to any general solicitation not focused to any group of customers itemized on a customer list of the Employer."
Auxillium 2,"Non-Competition. While Executive is employed at the Employer and for a period of one (1) year after termination of Executive's employment (for any reason whatsoever, whether voluntary or involuntarily), Executive shall not, without the prior written approval of the Board, whether alone or as a partner, officer, director, consultant, agent, employee or stockholder of any company or other commercial enterprise, directly or indirectly engage in any business or other activity in any geographic place where the Company and or any of its partners or affiliates are selling Company products which competes with the Employer in the sale of the pharmaceutical or other products being manufactured, marketed, distributed or developed by the Employer while Executive is employed by Employer and at the time of termination of such employment. The foregoing prohibition shall not prevent Executive's employment or engagement after termination of Executive's employment by any company or business organization, as long as the activities of any such employment or engagement, in any capacity, do not involve work on matters related to the products being developed, manufactured, or marketed by the Employer at the time of termination of Executive's employment. Executive shall be permitted to own securities of a public company not in excess of five percent of any class of such securities and to own stock, partnership interests or other securities of any entity not in excess of five percent of any class of such securities and such ownership shall not be considered to be in competition with the Employer."
